"GEO_ID","id"
"NAME","Geographic Area Name"
"S1501_C01_001E","Total!!Estimate!!Population 18 to 24 years"
"S1501_C01_001M","Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_002E","Total!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_002M","Total!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_003E","Total!!Estimate!!Population 18 to 24 years!!High school graduate (includes equivalency)"
"S1501_C01_003M","Total!!Margin of Error!!Population 18 to 24 years!!High school graduate (includes equivalency)"
"S1501_C01_004E","Total!!Estimate!!Population 18 to 24 years!!Some college or associate's degree"
"S1501_C01_004M","Total!!Margin of Error!!Population 18 to 24 years!!Some college or associate's degree"
"S1501_C01_005E","Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher"
"S1501_C01_005M","Total!!Margin of Error!!Population 18 to 24 years!!Bachelor's degree or higher"
"S1501_C01_006E","Total!!Estimate!!Population 25 years and over"
"S1501_C01_006M","Total!!Margin of Error!!Population 25 years and over"
"S1501_C01_007E","Total!!Estimate!!Population 25 years and over!!Less than 9th grade"
"S1501_C01_007M","Total!!Margin of Error!!Population 25 years and over!!Less than 9th grade"
"S1501_C01_008E","Total!!Estimate!!Population 25 years and over!!9th to 12th grade, no diploma"
"S1501_C01_008M","Total!!Margin of Error!!Population 25 years and over!!9th to 12th grade, no diploma"
"S1501_C01_009E","Total!!Estimate!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1501_C01_009M","Total!!Margin of Error!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1501_C01_010E","Total!!Estimate!!Population 25 years and over!!Some college, no degree"
"S1501_C01_010M","Total!!Margin of Error!!Population 25 years and over!!Some college, no degree"
"S1501_C01_011E","Total!!Estimate!!Population 25 years and over!!Associate's degree"
"S1501_C01_011M","Total!!Margin of Error!!Population 25 years and over!!Associate's degree"
"S1501_C01_012E","Total!!Estimate!!Population 25 years and over!!Bachelor's degree"
"S1501_C01_012M","Total!!Margin of Error!!Population 25 years and over!!Bachelor's degree"
"S1501_C01_013E","Total!!Estimate!!Population 25 years and over!!Graduate or professional degree"
"S1501_C01_013M","Total!!Margin of Error!!Population 25 years and over!!Graduate or professional degree"
"S1501_C01_014E","Total!!Estimate!!Percent high school graduate or higher"
"S1501_C01_014M","Total!!Margin of Error!!Percent high school graduate or higher"
"S1501_C01_015E","Total!!Estimate!!Percent bachelor's degree or higher"
"S1501_C01_015M","Total!!Margin of Error!!Percent bachelor's degree or higher"
"S1501_C01_016E","Total!!Estimate!!Population 25 to 34 years"
"S1501_C01_016M","Total!!Margin of Error!!Population 25 to 34 years"
"S1501_C01_017E","Total!!Estimate!!Population 25 to 34 years!!High school graduate or higher"
"S1501_C01_017M","Total!!Margin of Error!!Population 25 to 34 years!!High school graduate or higher"
"S1501_C01_018E","Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher"
"S1501_C01_018M","Total!!Margin of Error!!Population 25 to 34 years!!Bachelor's degree or higher"
"S1501_C01_019E","Total!!Estimate!!Population 35 to 44 years"
"S1501_C01_019M","Total!!Margin of Error!!Population 35 to 44 years"
"S1501_C01_020E","Total!!Estimate!!Population 35 to 44 years!!High school graduate or higher"
"S1501_C01_020M","Total!!Margin of Error!!Population 35 to 44 years!!High school graduate or higher"
"S1501_C01_021E","Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher"
"S1501_C01_021M","Total!!Margin of Error!!Population 35 to 44 years!!Bachelor's degree or higher"
"S1501_C01_022E","Total!!Estimate!!Population 45 to 64 years"
"S1501_C01_022M","Total!!Margin of Error!!Population 45 to 64 years"
"S1501_C01_023E","Total!!Estimate!!Population 45 to 64 years!!High school graduate or higher"
"S1501_C01_023M","Total!!Margin of Error!!Population 45 to 64 years!!High school graduate or higher"
"S1501_C01_024E","Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher"
"S1501_C01_024M","Total!!Margin of Error!!Population 45 to 64 years!!Bachelor's degree or higher"
"S1501_C01_025E","Total!!Estimate!!Population 65 years and over"
"S1501_C01_025M","Total!!Margin of Error!!Population 65 years and over"
"S1501_C01_026E","Total!!Estimate!!Population 65 years and over!!High school graduate or higher"
"S1501_C01_026M","Total!!Margin of Error!!Population 65 years and over!!High school graduate or higher"
"S1501_C01_027E","Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher"
"S1501_C01_027M","Total!!Margin of Error!!Population 65 years and over!!Bachelor's degree or higher"
"S1501_C01_028E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone"
"S1501_C01_028M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone"
"S1501_C01_029E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher"
"S1501_C01_029M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher"
"S1501_C01_030E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher"
"S1501_C01_030M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher"
"S1501_C01_031E","Total!!Estimate!!White alone, not Hispanic or Latino"
"S1501_C01_031M","Total!!Margin of Error!!White alone, not Hispanic or Latino"
"S1501_C01_032E","Total!!Estimate!!White alone, not Hispanic or Latino!!High school graduate or higher"
"S1501_C01_032M","Total!!Margin of Error!!White alone, not Hispanic or Latino!!High school graduate or higher"
"S1501_C01_033E","Total!!Estimate!!White alone, not Hispanic or Latino!!Bachelor's degree or higher"
"S1501_C01_033M","Total!!Margin of Error!!White alone, not Hispanic or Latino!!Bachelor's degree or higher"
"S1501_C01_034E","Total!!Estimate!!Black alone"
"S1501_C01_034M","Total!!Margin of Error!!Black alone"
"S1501_C01_035E","Total!!Estimate!!Black alone!!High school graduate or higher"
"S1501_C01_035M","Total!!Margin of Error!!Black alone!!High school graduate or higher"
"S1501_C01_036E","Total!!Estimate!!Black alone!!Bachelor's degree or higher"
"S1501_C01_036M","Total!!Margin of Error!!Black alone!!Bachelor's degree or higher"
"S1501_C01_037E","Total!!Estimate!!American Indian or Alaska Native alone"
"S1501_C01_037M","Total!!Margin of Error!!American Indian or Alaska Native alone"
"S1501_C01_038E","Total!!Estimate!!American Indian or Alaska Native alone!!High school graduate or higher"
"S1501_C01_038M","Total!!Margin of Error!!American Indian or Alaska Native alone!!High school graduate or higher"
"S1501_C01_039E","Total!!Estimate!!American Indian or Alaska Native alone!!Bachelor's degree or higher"
"S1501_C01_039M","Total!!Margin of Error!!American Indian or Alaska Native alone!!Bachelor's degree or higher"
"S1501_C01_040E","Total!!Estimate!!Asian alone"
"S1501_C01_040M","Total!!Margin of Error!!Asian alone"
"S1501_C01_041E","Total!!Estimate!!Asian alone!!High school graduate or higher"
"S1501_C01_041M","Total!!Margin of Error!!Asian alone!!High school graduate or higher"
"S1501_C01_042E","Total!!Estimate!!Asian alone!!Bachelor's degree or higher"
"S1501_C01_042M","Total!!Margin of Error!!Asian alone!!Bachelor's degree or higher"
"S1501_C01_043E","Total!!Estimate!!Native Hawaiian and Other Pacific Islander alone"
"S1501_C01_043M","Total!!Margin of Error!!Native Hawaiian and Other Pacific Islander alone"
"S1501_C01_044E","Total!!Estimate!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher"
"S1501_C01_044M","Total!!Margin of Error!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher"
"S1501_C01_045E","Total!!Estimate!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher"
"S1501_C01_045M","Total!!Margin of Error!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher"
"S1501_C01_046E","Total!!Estimate!!Some other race alone"
"S1501_C01_046M","Total!!Margin of Error!!Some other race alone"
"S1501_C01_047E","Total!!Estimate!!Some other race alone!!High school graduate or higher"
"S1501_C01_047M","Total!!Margin of Error!!Some other race alone!!High school graduate or higher"
"S1501_C01_048E","Total!!Estimate!!Some other race alone!!Bachelor's degree or higher"
"S1501_C01_048M","Total!!Margin of Error!!Some other race alone!!Bachelor's degree or higher"
"S1501_C01_049E","Total!!Estimate!!Two or more races"
"S1501_C01_049M","Total!!Margin of Error!!Two or more races"
"S1501_C01_050E","Total!!Estimate!!Two or more races!!High school graduate or higher"
"S1501_C01_050M","Total!!Margin of Error!!Two or more races!!High school graduate or higher"
"S1501_C01_051E","Total!!Estimate!!Two or more races!!Bachelor's degree or higher"
"S1501_C01_051M","Total!!Margin of Error!!Two or more races!!Bachelor's degree or higher"
"S1501_C01_052E","Total!!Estimate!!Hispanic or Latino Origin"
"S1501_C01_052M","Total!!Margin of Error!!Hispanic or Latino Origin"
"S1501_C01_053E","Total!!Estimate!!Hispanic or Latino Origin!!High school graduate or higher"
"S1501_C01_053M","Total!!Margin of Error!!Hispanic or Latino Origin!!High school graduate or higher"
"S1501_C01_054E","Total!!Estimate!!Hispanic or Latino Origin!!Bachelor's degree or higher"
"S1501_C01_054M","Total!!Margin of Error!!Hispanic or Latino Origin!!Bachelor's degree or higher"
"S1501_C01_055E","Total!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate"
"S1501_C01_055M","Total!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate"
"S1501_C01_056E","Total!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)"
"S1501_C01_056M","Total!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)"
"S1501_C01_057E","Total!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree"
"S1501_C01_057M","Total!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree"
"S1501_C01_058E","Total!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher"
"S1501_C01_058M","Total!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher"
"S1501_C01_059E","Total!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings"
"S1501_C01_059M","Total!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings"
"S1501_C01_060E","Total!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate"
"S1501_C01_060M","Total!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate"
"S1501_C01_061E","Total!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)"
"S1501_C01_061M","Total!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)"
"S1501_C01_062E","Total!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree"
"S1501_C01_062M","Total!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree"
"S1501_C01_063E","Total!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree"
"S1501_C01_063M","Total!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree"
"S1501_C01_064E","Total!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"S1501_C01_064M","Total!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"S1501_C02_001E","Percent!!Estimate!!Population 18 to 24 years"
"S1501_C02_001M","Percent!!Margin of Error!!Population 18 to 24 years"
"S1501_C02_002E","Percent!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002M","Percent!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_003E","Percent!!Estimate!!Population 18 to 24 years!!High school graduate (includes equivalency)"
"S1501_C02_003M","Percent!!Margin of Error!!Population 18 to 24 years!!High school graduate (includes equivalency)"
"S1501_C02_004E","Percent!!Estimate!!Population 18 to 24 years!!Some college or associate's degree"
"S1501_C02_004M","Percent!!Margin of Error!!Population 18 to 24 years!!Some college or associate's degree"
"S1501_C02_005E","Percent!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher"
"S1501_C02_005M","Percent!!Margin of Error!!Population 18 to 24 years!!Bachelor's degree or higher"
"S1501_C02_006E","Percent!!Estimate!!Population 25 years and over"
"S1501_C02_006M","Percent!!Margin of Error!!Population 25 years and over"
"S1501_C02_007E","Percent!!Estimate!!Population 25 years and over!!Less than 9th grade"
"S1501_C02_007M","Percent!!Margin of Error!!Population 25 years and over!!Less than 9th grade"
"S1501_C02_008E","Percent!!Estimate!!Population 25 years and over!!9th to 12th grade, no diploma"
"S1501_C02_008M","Percent!!Margin of Error!!Population 25 years and over!!9th to 12th grade, no diploma"
"S1501_C02_009E","Percent!!Estimate!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1501_C02_009M","Percent!!Margin of Error!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1501_C02_010E","Percent!!Estimate!!Population 25 years and over!!Some college, no degree"
"S1501_C02_010M","Percent!!Margin of Error!!Population 25 years and over!!Some college, no degree"
"S1501_C02_011E","Percent!!Estimate!!Population 25 years and over!!Associate's degree"
"S1501_C02_011M","Percent!!Margin of Error!!Population 25 years and over!!Associate's degree"
"S1501_C02_012E","Percent!!Estimate!!Population 25 years and over!!Bachelor's degree"
"S1501_C02_012M","Percent!!Margin of Error!!Population 25 years and over!!Bachelor's degree"
"S1501_C02_013E","Percent!!Estimate!!Population 25 years and over!!Graduate or professional degree"
"S1501_C02_013M","Percent!!Margin of Error!!Population 25 years and over!!Graduate or professional degree"
"S1501_C02_014E","Percent!!Estimate!!Percent high school graduate or higher"
"S1501_C02_014M","Percent!!Margin of Error!!Percent high school graduate or higher"
"S1501_C02_015E","Percent!!Estimate!!Percent bachelor's degree or higher"
"S1501_C02_015M","Percent!!Margin of Error!!Percent bachelor's degree or higher"
"S1501_C02_016E","Percent!!Estimate!!Population 25 to 34 years"
"S1501_C02_016M","Percent!!Margin of Error!!Population 25 to 34 years"
"S1501_C02_017E","Percent!!Estimate!!Population 25 to 34 years!!High school graduate or higher"
"S1501_C02_017M","Percent!!Margin of Error!!Population 25 to 34 years!!High school graduate or higher"
"S1501_C02_018E","Percent!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher"
"S1501_C02_018M","Percent!!Margin of Error!!Population 25 to 34 years!!Bachelor's degree or higher"
"S1501_C02_019E","Percent!!Estimate!!Population 35 to 44 years"
"S1501_C02_019M","Percent!!Margin of Error!!Population 35 to 44 years"
"S1501_C02_020E","Percent!!Estimate!!Population 35 to 44 years!!High school graduate or higher"
"S1501_C02_020M","Percent!!Margin of Error!!Population 35 to 44 years!!High school graduate or higher"
"S1501_C02_021E","Percent!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher"
"S1501_C02_021M","Percent!!Margin of Error!!Population 35 to 44 years!!Bachelor's degree or higher"
"S1501_C02_022E","Percent!!Estimate!!Population 45 to 64 years"
"S1501_C02_022M","Percent!!Margin of Error!!Population 45 to 64 years"
"S1501_C02_023E","Percent!!Estimate!!Population 45 to 64 years!!High school graduate or higher"
"S1501_C02_023M","Percent!!Margin of Error!!Population 45 to 64 years!!High school graduate or higher"
"S1501_C02_024E","Percent!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher"
"S1501_C02_024M","Percent!!Margin of Error!!Population 45 to 64 years!!Bachelor's degree or higher"
"S1501_C02_025E","Percent!!Estimate!!Population 65 years and over"
"S1501_C02_025M","Percent!!Margin of Error!!Population 65 years and over"
"S1501_C02_026E","Percent!!Estimate!!Population 65 years and over!!High school graduate or higher"
"S1501_C02_026M","Percent!!Margin of Error!!Population 65 years and over!!High school graduate or higher"
"S1501_C02_027E","Percent!!Estimate!!Population 65 years and over!!Bachelor's degree or higher"
"S1501_C02_027M","Percent!!Margin of Error!!Population 65 years and over!!Bachelor's degree or higher"
"S1501_C02_028E","Percent!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone"
"S1501_C02_028M","Percent!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone"
"S1501_C02_029E","Percent!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher"
"S1501_C02_029M","Percent!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher"
"S1501_C02_030E","Percent!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher"
"S1501_C02_030M","Percent!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher"
"S1501_C02_031E","Percent!!Estimate!!White alone, not Hispanic or Latino"
"S1501_C02_031M","Percent!!Margin of Error!!White alone, not Hispanic or Latino"
"S1501_C02_032E","Percent!!Estimate!!White alone, not Hispanic or Latino!!High school graduate or higher"
"S1501_C02_032M","Percent!!Margin of Error!!White alone, not Hispanic or Latino!!High school graduate or higher"
"S1501_C02_033E","Percent!!Estimate!!White alone, not Hispanic or Latino!!Bachelor's degree or higher"
"S1501_C02_033M","Percent!!Margin of Error!!White alone, not Hispanic or Latino!!Bachelor's degree or higher"
"S1501_C02_034E","Percent!!Estimate!!Black alone"
"S1501_C02_034M","Percent!!Margin of Error!!Black alone"
"S1501_C02_035E","Percent!!Estimate!!Black alone!!High school graduate or higher"
"S1501_C02_035M","Percent!!Margin of Error!!Black alone!!High school graduate or higher"
"S1501_C02_036E","Percent!!Estimate!!Black alone!!Bachelor's degree or higher"
"S1501_C02_036M","Percent!!Margin of Error!!Black alone!!Bachelor's degree or higher"
"S1501_C02_037E","Percent!!Estimate!!American Indian or Alaska Native alone"
"S1501_C02_037M","Percent!!Margin of Error!!American Indian or Alaska Native alone"
"S1501_C02_038E","Percent!!Estimate!!American Indian or Alaska Native alone!!High school graduate or higher"
"S1501_C02_038M","Percent!!Margin of Error!!American Indian or Alaska Native alone!!High school graduate or higher"
