"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Aberdeen, WA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,058","24.3%","41.8%","33.3%","0.6%","50,375","4.5%","7.9%","32.9%","27.3%","13.0%","10.2%","4.1%","87.6%","14.3%","9,080","81.7%","12.8%","7,834","94.5%","13.9%","20,430","89.4%","14.2%","13,031","84.7%","15.7%","","21.8%","23.6%","11.9%","8.6%","","30,710","23,820","20,487","34,691","49,216","56,186","","9.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,281","20.0%","51.0%","29.1%","0.0%","25,481","6.2%","6.9%","34.2%","26.5%","13.1%","10.5%","2.7%","86.9%","13.2%","5,089","77.6%","5.2%","4,146","90.2%","13.8%","10,349","91.0%","14.5%","5,897","85.5%","17.2%","","17.6%","17.7%","12.9%","7.9%","","35,219","32,140","17,102","37,331","55,767","56,971","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,777","29.4%","30.9%","38.3%","1.4%","24,894","2.8%","8.9%","31.7%","28.1%","13.0%","9.9%","5.6%","88.3%","15.5%","3,991","86.9%","22.5%","3,688","99.4%","14.1%","10,081","87.8%","14.0%","7,134","84.0%","14.5%","","25.9%","29.2%","11.1%","9.3%","","25,445","22,685","21,606","27,993","35,074","52,418","","(X)"
"Abilene, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,629","15.7%","33.1%","46.0%","5.3%","105,112","6.3%","9.8%","31.2%","24.1%","6.5%","15.6%","6.5%","83.8%","22.1%","24,166","87.5%","23.4%","19,741","86.5%","20.7%","37,136","83.8%","23.1%","24,069","78.0%","20.3%","","29.3%","12.2%","8.8%","4.5%","","28,223","18,308","25,169","29,802","39,340","51,380","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,563","21.9%","33.9%","40.2%","3.9%","52,844","7.3%","10.1%","32.4%","23.4%","5.8%","14.4%","6.6%","82.6%","21.0%","13,168","83.3%","17.8%","10,321","84.7%","19.6%","18,946","83.9%","22.3%","10,409","77.5%","23.8%","","25.4%","9.0%","6.6%","3.3%","","35,206","20,604","28,362","39,583","47,153","61,758","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
