city_merge_name,population,year,violent_crime,property_crime,rev_total,police,education_services,education,educ_higher,educ_elem_sec,social_services,public_welfare,welfare_cash,welfare_vendors,welfare_other,correction,parks_recreation,housing_commdevt,per_capita_personal_income_dollars,personal_income_thousands_of_dollars,population_persons,total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,percent_race_one_race_asian,percent_race_one_race_black_or_african_american,percent_race_one_race_native_hawaiian_and_other_pacific_islander,percent_race_one_race_white,percent_hispanic_or_latino
"Anchorage, AK",313181.0,2010.0,0.0081289999999999,0.035063,6036.69,433.95,2880.31,2846.29,0.0,2846.29,103.9,0.0,0.0,0.0,0.0,0.0,177.32,0.0,52758.0,20208961.0,383053.0,236956.0,6.2,2.2,246299.0,201156.0,373862.0,12.3,9.4,185272.0,284428.0,6609.0,100776.0,188590.0,26787.0,8.6,6.5,4.9,1.7,71.1,6.7
"Anchorage, AK",310965.0,2011.0,0.007892,0.03302,5815.54,410.66,2787.14,2755.34,0.0,2755.34,93.42,0.0,0.0,0.0,0.0,0.0,141.81,0.0,55155.0,21395704.0,387922.0,241707.0,4.6,0.9,249179.0,204255.0,379089.0,13.0,8.7,190463.0,290199.0,6002.0,99826.0,188626.0,30084.0,7.5,6.5,4.3,1.6,70.8,6.9
"Anchorage, AK",313529.0,2012.0,0.008111,0.036182,5378.15,446.75,2429.79,2398.01,0.0,2398.01,96.7,0.0,0.0,0.0,0.0,0.0,75.79,0.0,55931.0,21920977.0,391932.0,245553.0,3.6,1.2,253649.0,209289.0,384749.0,12.3,8.7,189843.0,295740.0,7493.0,99897.0,194906.0,31203.0,7.9,7.4,5.0,1.6,70.3,7.2
"Anchorage, AK",314553.0,2013.0,0.0079379999999999,0.041478,5694.68,454.03,2471.81,2439.77,0.0,2439.77,128.83,0.0,0.0,0.0,0.0,0.0,26.01,0.0,54543.0,21654641.0,397022.0,244681.0,5.2,1.7,253599.0,209117.0,386833.0,7.6,7.1,190219.0,296588.0,6788.0,100002.0,196614.0,33232.0,7.2,6.5,4.8,1.7,69.8,7.6
"Anchorage, AK",316696.0,2014.0,0.008437,0.039514,5735.87,468.5,2456.47,2430.38,0.0,2430.38,81.63,5.32,0.0,0.0,5.32,0.0,55.31,37.11,57537.0,22899316.0,397996.0,247147.0,4.7,0.7,253296.0,207809.0,388847.0,15.4,9.9,191772.0,299125.0,6674.0,99732.0,197075.0,35819.0,8.5,7.4,4.5,1.7,69.3,7.9
"Anchorage, AK",316990.0,2015.0,0.010395,0.040301,6054.78,482.87,2729.98,2702.73,0.0,2702.73,88.45,5.31,0.0,0.0,5.31,0.0,127.16,34.38,59719.0,23804702.0,398609.0,249395.0,4.2,1.8,254312.0,207901.0,390950.0,13.3,8.7,190738.0,301364.0,7347.0,99951.0,200212.0,36687.0,7.6,7.6,4.9,1.5,68.0,8.0
"Anchorage, AK",315641.0,2016.0,0.011149,0.049506,5778.73,480.72,2463.58,2435.52,0.0,2435.52,84.66,5.24,0.0,0.0,5.24,0.0,125.41,38.97,57857.0,23221930.0,401368.0,254894.0,4.9,3.3,254057.0,212717.0,393106.0,8.6,7.2,192073.0,303813.0,6738.0,100281.0,201033.0,38768.0,7.0,7.0,4.3,1.9,67.4,7.9
"Anchorage, AK",313465.0,2017.0,0.011628,0.054414,5694.71,445.15,2366.46,2339.58,0.0,2339.58,76.03,5.26,0.0,0.0,5.26,0.0,118.38,39.92,58732.0,23526077.0,400570.0,256586.0,7.8,1.6,250770.0,206603.0,390713.0,14.2,10.4,192520.0,302385.0,8307.0,97954.0,198193.0,41989.0,9.4,8.3,4.1,2.0,67.5,8.0
"Fairbanks, AK",38307.0,2010.0,0.007831,0.040541,5175.37,336.73,2689.78,2627.57,0.0,2627.57,54.71,0.0,0.0,0.0,0.0,0.0,94.74,135.56,46225.0,4542248.0,98264.0,59040.0,5.7,1.9,64293.0,49819.0,93983.0,7.9,7.0,44629.0,72584.0,5382.0,23854.0,49354.0,5836.0,6.8,3.1,4.2,0.4,78.1,5.8
"Fairbanks, AK",34243.0,2011.0,0.005607,0.040767,5456.08,354.09,2632.38,2570.75,0.0,2570.75,50.86,0.0,0.0,0.0,0.0,0.0,93.55,125.34,50956.0,4999795.0,98120.0,59285.0,8.0,3.3,64385.0,50010.0,95824.0,13.1,10.3,45335.0,72887.0,4850.0,24873.0,50489.0,6566.0,9.5,2.5,4.6,0.3,76.3,6.3
"Fairbanks, AK",34603.0,2012.0,0.0052889999999999,0.044765,5102.97,215.08,2403.69,2348.88,0.0,2348.88,61.23,0.0,0.0,0.0,0.0,0.0,92.39,144.2,50958.0,5111638.0,100311.0,60326.0,5.8,1.8,64810.0,49488.0,96529.0,6.1,6.9,46476.0,74561.0,6669.0,24517.0,50053.0,7202.0,7.3,2.4,4.9,0.5,77.6,6.8
"Fairbanks, AK",34741.0,2013.0,0.006822,0.041133,5385.34,292.75,2420.57,2358.04,0.0,2358.04,66.17,0.0,0.0,0.0,0.0,0.0,137.93,139.72,49150.0,4960891.0,100933.0,59989.0,1.7,1.5,64845.0,51306.0,96578.0,9.4,7.7,44938.0,74604.0,6099.0,24110.0,51640.0,7623.0,7.8,3.4,3.9,0.2,77.6,7.7
"Fairbanks, AK",34712.0,2014.0,0.006482,0.040073,5713.46,263.51,2371.46,2300.65,0.0,2300.65,41.09,0.0,0.0,0.0,0.0,0.0,133.77,155.4,52174.0,5178518.0,99254.0,58140.0,2.7,1.3,63996.0,50117.0,95425.0,9.5,9.9,43627.0,74351.0,5793.0,23579.0,51798.0,7850.0,10.9,2.5,4.6,0.6,75.8,7.7
"Fairbanks, AK",34867.0,2015.0,0.004847,0.039464,5821.08,291.77,2553.73,2486.97,0.0,2486.97,20.94,0.0,0.0,0.0,0.0,0.0,99.55,157.83,53753.0,5355702.0,99636.0,58574.0,3.5,1.3,63990.0,51765.0,95472.0,8.9,7.4,43979.0,74368.0,5688.0,23633.0,51493.0,7849.0,7.3,2.9,4.4,0.1,75.6,8.0
"Fairbanks, AK",34657.0,2016.0,0.0066939999999999,0.043772,5274.03,236.6,2186.21,2127.49,0.0,2127.49,22.85,0.0,0.0,0.0,0.0,0.0,97.92,158.14,53051.0,5338649.0,100633.0,60230.0,1.7,5.2,63753.0,53042.0,96375.0,17.8,9.9,44056.0,74801.0,7158.0,24068.0,52319.0,8554.0,8.1,3.9,4.4,0.5,75.0,7.9
"Fairbanks, AK",35185.0,2017.0,0.006082,0.0466389999999999,5423.24,207.75,2191.84,2133.62,0.0,2133.62,41.98,0.0,0.0,0.0,0.0,0.0,96.89,155.72,54612.0,5443462.0,99675.0,60698.0,4.5,4.2,61959.0,45247.0,95018.0,4.9,6.0,46004.0,73501.0,8242.0,23564.0,49014.0,9495.0,6.7,3.0,4.6,0.1,75.5,8.1
"Birmingham, AL",1133475.0,2011.0,0.005242,0.040937,7100.4,441.34,2046.59,1970.84,0.0,1970.84,232.67,0.13,0.0,0.0,0.13,87.19,144.91,473.7,40837.0,43452289.0,1064030.0,753519.0,8.8,3.4,700620.0,547811.0,1109857.0,23.8,16.5,578908.0,874012.0,6257.0,264146.0,530949.0,145091.0,15.4,1.4,28.5,0.0,67.0,4.5
"Birmingham, AL",1136805.0,2012.0,0.005651,0.037977,6492.59,442.7,1781.44,1707.17,0.0,1707.17,244.54,0.05,0.0,0.0,0.05,56.29,160.22,456.37,42793.0,45684227.0,1067563.0,754504.0,10.0,3.4,695738.0,542989.0,1114744.0,24.4,16.8,580639.0,880098.0,6538.0,266477.0,534105.0,152529.0,15.3,1.4,28.5,0.0,66.8,4.3
"Birmingham, AL",1138940.0,2013.0,0.005298,0.037225,6695.74,470.64,1539.69,1468.26,0.0,1468.26,238.86,0.02,0.0,0.0,0.02,57.5,177.61,441.97,42461.0,45556037.0,1072882.0,756590.0,8.7,4.6,695202.0,539927.0,1116257.0,25.4,16.9,581673.0,880372.0,6288.0,264056.0,534584.0,156999.0,15.5,1.3,28.4,0.0,66.7,4.4
"Birmingham, AL",1145825.0,2015.0,0.00682,0.033449,6354.02,496.85,1375.09,1304.26,0.0,1304.26,151.28,0.02,0.0,0.0,0.02,56.95,209.62,510.47,46245.0,49933414.0,1079752.0,768533.0,9.2,4.1,691278.0,550033.0,1121603.0,22.3,15.7,587162.0,889634.0,6205.0,263682.0,534441.0,166643.0,14.8,1.5,29.1,0.1,65.8,4.1
