city,Description,Year,Values
"Abilene, TX",Personal income (thousands of dollars),2000,3675392
"Abilene, TX",Population (persons) 1/,2000,160288
"Abilene, TX",Per capita personal income (dollars) 2/,2000,22930
"Akron, OH",Personal income (thousands of dollars),2000,20750568
"Akron, OH",Population (persons) 1/,2000,695946
"Akron, OH",Per capita personal income (dollars) 2/,2000,29816
"Albany, GA",Personal income (thousands of dollars),2000,3448146
"Albany, GA",Population (persons) 1/,2000,153585
"Albany, GA",Per capita personal income (dollars) 2/,2000,22451
"Albany-Lebanon, OR",Personal income (thousands of dollars),2000,2375900
"Albany-Lebanon, OR",Population (persons) 1/,2000,103020
"Albany-Lebanon, OR",Per capita personal income (dollars) 2/,2000,23063
"Albany-Schenectady-Troy, NY",Personal income (thousands of dollars),2000,26800742
"Albany-Schenectady-Troy, NY",Population (persons) 1/,2000,827399
"Albany-Schenectady-Troy, NY",Per capita personal income (dollars) 2/,2000,32392
"Albuquerque, NM",Personal income (thousands of dollars),2000,19627427
"Albuquerque, NM",Population (persons) 1/,2000,732220
"Albuquerque, NM",Per capita personal income (dollars) 2/,2000,26805
"Alexandria, LA",Personal income (thousands of dollars),2000,3397455
"Alexandria, LA",Population (persons) 1/,2000,145179
"Alexandria, LA",Per capita personal income (dollars) 2/,2000,23402
"Allentown-Bethlehem-Easton, PA-NJ",Personal income (thousands of dollars),2000,22569579
"Allentown-Bethlehem-Easton, PA-NJ",Population (persons) 1/,2000,741817
"Allentown-Bethlehem-Easton, PA-NJ",Per capita personal income (dollars) 2/,2000,30425
"Altoona, PA",Personal income (thousands of dollars),2000,3216044
"Altoona, PA",Population (persons) 1/,2000,128981
"Altoona, PA",Per capita personal income (dollars) 2/,2000,24934
"Amarillo, TX",Personal income (thousands of dollars),2000,5498336
"Amarillo, TX",Population (persons) 1/,2000,229215
"Amarillo, TX",Per capita personal income (dollars) 2/,2000,23988
"Ames, IA",Personal income (thousands of dollars),2000,2866062
"Ames, IA",Population (persons) 1/,2000,106403
