total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
48468,4.1,8.7,43060,31312,69744,30.6,17.2,35263,55747,5838.0,15270,34481,11414,15.9,2010,"Aberdeen, WA"
96942,11.3,7.0,92319,74859,150256,22.0,18.0,78432,117438,5884.0,37109,71824,20828,17.8,2010,"Abilene, TX"
65572,8.7,6.0,58351,48754,95657,19.2,14.4,48827,75437,5975.0,22864,46830,14442,14.0,2010,"Adrian, MI"
201157,45.6,22.5,187729,99369,303480,61.7,53.8,156077,241690,7320.0,72104,147403,43647,52.6,2010,"Aguadilla, PR"
465210,8.2,4.4,434453,368347,687098,22.1,15.5,354028,551307,6588.0,154968,333070,97677,14.7,2010,"Akron, OH"
99880,14.9,6.5,94208,70814,154966,38.1,27.7,82808,118735,6277.0,41257,72158,19501,25.8,2010,"Albany, GA"
79626,9.0,7.0,70537,52631,116349,34.8,18.7,58743,91590,6205.0,27615,57606,18197,15.0,2010,"Albany, OR"
581426,7.3,2.4,542931,465069,840023,16.1,11.5,428823,682325,5903.0,179946,411200,117146,10.8,2010,"Albany, NY"
60157,9.9,4.9,55032,43096,92265,31.8,19.6,47294,71182,6275.0,23874,44971,13359,16.7,2010,"Albertville, AL"
581075,10.9,3.0,557152,440149,881703,25.9,17.2,451052,689803,6546.0,215114,430651,109437,15.2,2010,"Albuquerque, NM"
92770,10.6,4.5,85105,64408,142367,28.6,19.5,75363,108992,5433.0,37612,67004,19650,17.5,2010,"Alexandria, LA"
73000,13.4,3.2,67801,54510,110817,18.0,16.3,55593,84915,6787.0,29205,55224,13811,16.2,2010,"Allegan, MI"
553960,6.1,3.0,488601,416250,793039,17.5,11.7,406439,629980,5666.0,184948,386600,119490,10.9,2010,"Allentown, PA"
86267,8.3,1.1,76763,62401,123937,14.8,12.3,63251,101028,6302.0,26361,60686,20813,12.5,2010,"Altoona, PA"
156670,9.3,6.8,153615,130040,245997,24.6,16.3,123288,188043,5147.0,64114,122709,28268,14.1,2010,"Amarillo, TX"
47738,1.9,3.8,57206,48940,81758,12.1,19.8,40305,67395,5986.0,16037,41453,8515,24.7,2010,"Ames, IA"
236956,6.2,2.2,246299,201156,373862,12.3,9.4,185272,284428,6609.0,100776,188590,26787,8.6,2010,"Anchorage, AK"
86303,9.4,4.7,77127,61392,125341,31.5,18.5,63563,100501,6820.0,28345,61778,19869,16.1,2010,"Anderson, IN"
123970,9.4,4.4,109512,84283,181066,30.7,19.7,94105,141213,5353.0,44600,86961,26954,17.7,2010,"Anderson, SC"
211670,6.2,2.7,218632,180732,323868,12.6,12.9,162727,261424,6292.0,70537,161141,34699,14.1,2010,"Ann Arbor, MI"
77728,9.8,6.6,73074,50446,116553,34.0,25.0,60723,92976,6502.0,26847,55830,16632,25.1,2010,"Anniston, AL"
148243,7.8,3.2,139891,123428,223101,11.5,8.1,110949,171212,6833.0,57458,112152,25752,6.7,2010,"Appleton, WI"
300643,8.9,7.2,254493,208254,413946,23.4,16.3,215241,340521,5657.0,83740,198705,75713,16.2,2010,"Asheville, NC"
