city_merge_name,population,city_population,year,violent_crime,property_crime,rev_total,police,education_services,education,educ_higher,educ_elem_sec,social_services,public_welfare,welfare_cash,welfare_vendors,welfare_other,correction,parks_recreation,housing_commdevt
"Anchorage, AK",260900,259348,2000,0.005841,0.043473000000000005,5523.35,352.61,2426.51,2386.4,0.0,2386.4,195.6,0.0,0.0,0.0,0.0,0.0,213.45,0.0
"Anchorage, AK",263588,260816,2001,0.006632000000000001,0.0435,4831.29,594.42,2281.82,2251.8,0.0,2251.8,138.03,0.0,0.0,0.0,0.0,0.0,266.67,0.0
"Anchorage, AK",267280,264274,2002,0.006438999999999999,0.044706,4914.64,708.42,2455.38,2426.06,0.0,2426.06,165.42,0.0,0.0,0.0,0.0,0.0,285.35,0.0
"Anchorage, AK",282940,268229,2003,0.006789,0.045483,4463.29,320.32,2590.59,2561.61,0.0,2561.61,176.95,0.0,0.0,0.0,0.0,0.0,121.36,0.0
"Anchorage, AK",286671,270568,2004,0.008062,0.038187,5007.39,325.37,2627.83,2599.76,0.0,2599.76,143.11,0.0,0.0,0.0,0.0,0.0,136.75,0.0
"Anchorage, AK",291624,274484,2005,0.007537,0.042761,4944.86,335.65,2636.72,2609.39,0.0,2609.39,108.67,0.0,0.0,0.0,0.0,0.0,114.36,0.0
"Anchorage, AK",294862,276494,2006,0.009323,0.043663999999999994,5198.61,338.51,2632.71,2602.54,0.0,2602.54,115.17,0.0,0.0,0.0,0.0,0.0,121.03,0.0
"Anchorage, AK",303996,280085,2007,0.008309,0.040024000000000004,5708.19,357.36,2416.47,2388.57,0.0,2388.57,102.82,0.0,0.0,0.0,0.0,0.0,278.45,0.0
"Anchorage, AK",301010,278792,2008,0.009229,0.033793000000000004,5371.8,411.99,2786.04,2751.24,0.0,2751.24,102.27,0.0,0.0,0.0,0.0,0.0,320.45,0.0
"Anchorage, AK",305284,281554,2009,0.008536,0.03672,5060.77,427.53,2891.44,2852.57,0.0,2852.57,105.32,0.0,0.0,0.0,0.0,0.0,277.3,0.0
"Anchorage, AK",313181,287677,2010,0.008128999999999999,0.035063000000000004,6036.69,433.95,2880.31,2846.29,0.0,2846.29,103.9,0.0,0.0,0.0,0.0,0.0,177.32,0.0
"Anchorage, AK",310965,293310,2011,0.007892,0.03302,5815.54,410.66,2787.14,2755.34,0.0,2755.34,93.42,0.0,0.0,0.0,0.0,0.0,141.81,0.0
"Anchorage, AK",313529,296154,2012,0.008111,0.036182,5378.15,446.75,2429.79,2398.01,0.0,2398.01,96.7,0.0,0.0,0.0,0.0,0.0,75.79,0.0
"Anchorage, AK",314553,298233,2013,0.007937999999999999,0.041478,5694.68,454.03,2471.81,2439.77,0.0,2439.77,128.83,0.0,0.0,0.0,0.0,0.0,26.01,0.0
"Anchorage, AK",316696,301155,2014,0.008437,0.039514,5735.87,468.5,2456.47,2430.38,0.0,2430.38,81.63,5.32,0.0,0.0,5.32,0.0,55.31,37.11
"Anchorage, AK",316990,299927,2015,0.010395,0.040301,6054.78,482.87,2729.98,2702.73,0.0,2702.73,88.45,5.31,0.0,0.0,5.31,0.0,127.16,34.38
"Anchorage, AK",315641,297613,2016,0.011149000000000001,0.049506,5778.73,480.72,2463.58,2435.52,0.0,2435.52,84.66,5.24,0.0,0.0,5.24,0.0,125.41,38.97
"Anchorage, AK",313465,297216,2017,0.011628,0.054414,5694.71,445.15,2366.46,2339.58,0.0,2339.58,76.03,5.26,0.0,0.0,5.26,0.0,118.38,39.92
"Fairbanks, AK",32652,30529,2003,0.009217999999999999,0.056291,4390.33,404.99,2219.43,2171.8,0.0,2171.8,16.47,0.0,0.0,0.0,0.0,0.0,99.83,68.92
"Fairbanks, AK",32948,30469,2004,0.007497,0.052659,4497.06,265.28,2232.0,2179.39,0.0,2179.39,14.99,0.0,0.0,0.0,0.0,0.0,81.92,50.96
"Fairbanks, AK",32497,30839,2005,0.009601,0.055574,4336.73,241.87,2237.7,2185.32,0.0,2185.32,51.5,0.0,0.0,0.0,0.0,0.0,111.3,33.41
"Fairbanks, AK",33421,30946,2006,0.008197999999999999,0.057718,4545.29,300.14,2241.68,2187.34,0.0,2187.34,40.98,0.0,0.0,0.0,0.0,0.0,81.71,17.86
"Fairbanks, AK",33156,30636,2007,0.008294,0.047743999999999995,5143.96,271.93,2339.67,2280.36,0.0,2280.36,45.65,0.0,0.0,0.0,0.0,0.0,95.12,3.75
"Fairbanks, AK",37407,31184,2008,0.0077529999999999995,0.038415,5009.22,267.24,2542.65,2487.78,0.0,2487.78,45.64,0.0,0.0,0.0,0.0,0.0,114.43,165.41
"Fairbanks, AK",38034,31212,2009,0.00752,0.041936,5007.27,332.13,2613.32,2552.39,0.0,2552.39,45.52,0.0,0.0,0.0,0.0,0.0,87.09,169.62
"Fairbanks, AK",38307,31083,2010,0.007831,0.040541,5175.37,336.73,2689.78,2627.57,0.0,2627.57,54.71,0.0,0.0,0.0,0.0,0.0,94.74,135.56
"Fairbanks, AK",34243,31760,2011,0.005607000000000001,0.040767,5456.08,354.09,2632.38,2570.75,0.0,2570.75,50.86,0.0,0.0,0.0,0.0,0.0,93.55,125.34
"Fairbanks, AK",34603,30741,2012,0.005288999999999999,0.044765,5102.97,215.08,2403.69,2348.88,0.0,2348.88,61.23,0.0,0.0,0.0,0.0,0.0,92.39,144.2
"Fairbanks, AK",34741,32061,2013,0.006822000000000001,0.041133,5385.34,292.75,2420.57,2358.04,0.0,2358.04,66.17,0.0,0.0,0.0,0.0,0.0,137.93,139.72
"Fairbanks, AK",34712,32385,2014,0.006482000000000001,0.040073000000000004,5713.46,263.51,2371.46,2300.65,0.0,2300.65,41.09,0.0,0.0,0.0,0.0,0.0,133.77,155.4
"Fairbanks, AK",34867,31529,2015,0.004847,0.039464,5821.08,291.77,2553.73,2486.97,0.0,2486.97,20.94,0.0,0.0,0.0,0.0,0.0,99.55,157.83
"Fairbanks, AK",34657,31636,2016,0.006693999999999999,0.043772,5274.03,236.6,2186.21,2127.49,0.0,2127.49,22.85,0.0,0.0,0.0,0.0,0.0,97.92,158.14
"Fairbanks, AK",35185,32015,2017,0.006082000000000001,0.04663899999999999,5423.24,207.75,2191.84,2133.62,0.0,2133.62,41.98,0.0,0.0,0.0,0.0,0.0,96.89,155.72
"Birmingham, AL",917976,243391,2000,0.0057870000000000005,0.045641,6436.31,433.63,1839.88,1766.74,0.0,1766.74,394.3,40.86,0.0,0.0,40.86,47.8,138.16,223.26
"Birmingham, AL",924680,240953,2001,0.005561,0.043001000000000004,5770.04,423.57,1953.79,1881.23,0.0,1881.23,365.76,39.83,0.0,0.0,39.83,47.78,270.3,219.87
"Birmingham, AL",929271,237453,2002,0.0053620000000000004,0.041535,5742.95,461.41,1703.34,1627.22,0.0,1627.22,374.06,46.87,0.0,0.0,46.87,49.92,282.96,481.21
"Birmingham, AL",1071569,233602,2003,0.005596,0.042573999999999994,5949.65,467.62,1581.06,1501.41,0.0,1501.41,313.8,46.2,0.0,0.0,46.2,53.84,265.34,569.04
"Birmingham, AL",1079659,230961,2004,0.005786,0.044338999999999996,6876.52,457.32,1530.72,1453.57,0.0,1453.57,307.99,49.51,0.0,0.0,49.51,58.73,265.65,419.36
"Birmingham, AL",1099986,224379,2006,0.005625,0.04316,6749.7,494.26,2275.69,2196.34,0.0,2196.34,306.03,46.01,0.0,4.81,41.2,93.6,268.32,364.43
"Birmingham, AL",1108901,221936,2007,0.0058260000000000004,0.044862,7933.48,429.32,1821.55,1739.51,0.0,1739.51,223.29,2.88,0.0,0.0,2.88,104.92,259.9,310.3
"Birmingham, AL",1118275,218880,2008,0.005941,0.047382,7361.39,434.37,1654.74,1572.22,0.0,1572.22,376.52,26.83,0.0,0.0,26.83,102.59,338.06,301.46
"Birmingham, AL",1130745,216505,2009,0.005346,0.045356,5679.5,495.3,1796.07,1709.24,0.0,1709.24,311.33,0.11,0.0,0.0,0.11,75.01,219.25,365.61
"Birmingham, AL",1133475,211743,2011,0.005242,0.040937,7100.4,441.34,2046.59,1970.84,0.0,1970.84,232.67,0.13,0.0,0.0,0.13,87.19,144.91,473.7
"Birmingham, AL",1136805,211566,2012,0.005651000000000001,0.037977,6492.59,442.7,1781.44,1707.17,0.0,1707.17,244.54,0.05,0.0,0.0,0.05,56.29,160.22,456.37
"Birmingham, AL",1138940,210749,2013,0.005298,0.037225,6695.74,470.64,1539.69,1468.26,0.0,1468.26,238.86,0.02,0.0,0.0,0.02,57.5,177.61,441.97
"Birmingham, AL",1143854,211230,2014,0.005765,,6885.65,492.04,1372.25,1300.59,0.0,1300.59,188.56,0.02,0.0,0.0,0.02,51.24,202.46,483.72
"Birmingham, AL",1145825,211109,2015,0.00682,0.033449,6354.02,496.85,1375.09,1304.26,0.0,1304.26,151.28,0.02,0.0,0.0,0.02,56.95,209.62,510.47
"Mobile, AL",544937,203235,2000,0.00548,0.054138,4109.46,295.46,1436.64,1389.9,0.0,1389.9,121.17,11.5,0.0,0.0,11.5,90.84,161.73,291.87
"Mobile, AL",542355,203347,2001,0.005358,0.057411000000000004,4024.95,304.61,1399.52,1351.69,0.0,1351.69,125.96,4.77,0.0,0.0,4.77,90.9,185.06,303.84
"Mobile, AL",545046,201811,2002,0.005055,0.049888,4388.37,315.15,1490.01,1441.98,0.0,1441.98,149.04,26.28,0.0,13.85,12.43,96.47,156.08,318.63
"Mobile, AL",401433,199470,2003,0.005578,0.057486999999999996,4402.64,346.89,1552.32,1483.2,0.0,1483.2,159.33,16.75,0.0,6.5,10.24,66.65,221.38,318.26
"Mobile, AL",402361,197742,2004,0.00462,0.05758,4312.63,335.86,1493.62,1441.83,0.0,1441.83,174.36,18.61,0.0,8.99,9.62,78.86,167.04,339.89
"Mobile, AL",402968,196175,2005,0.003971000000000001,0.046562,4339.62,316.64,1655.7,1599.94,0.0,1599.94,191.47,16.44,0.0,7.94,8.5,81.68,147.25,363.48
"Mobile, AL",405058,195188,2006,0.003935,0.050835,4584.96,370.38,1658.44,1618.73,0.0,1618.73,202.94,23.35,0.0,9.44,13.9,78.73,178.27,395.68
"Mobile, AL",405259,195649,2007,0.004486,0.049201,4994.42,377.4,1699.83,1655.28,0.0,1655.28,141.02,18.93,0.0,12.47,6.46,70.94,188.12,336.68
"Mobile, AL",405797,195530,2008,0.004776,0.048873999999999994,4557.87,397.42,1685.25,1642.91,0.0,1642.91,230.8,27.22,0.0,13.21,14.0,78.3,208.93,299.91
"Mobile, AL",408816,195915,2009,0.007247999999999999,0.049083,4569.51,361.2,1547.75,1507.28,0.0,1507.28,161.96,22.54,0.0,12.51,10.04,72.56,288.96,344.37
"Mobile, AL",416582,195756,2010,0.005341,0.046257,4960.42,392.04,1530.74,1471.81,0.0,1471.81,193.25,20.02,0.0,0.0,20.02,70.06,170.88,399.01
"Mobile, AL",414980,194577,2011,0.006082000000000001,0.04807,4789.89,416.28,1483.0,1431.73,0.0,1431.73,215.06,39.43,0.0,0.0,39.43,48.4,174.16,523.26
"Mobile, AL",414233,193992,2012,0.005521,0.042988,4584.39,338.45,1439.19,1386.14,0.0,1386.14,206.67,11.48,0.0,0.0,11.48,61.71,160.01,312.77
"Mobile, AL",414070,193858,2013,0.005859,0.045125,4182.53,332.49,1484.67,1399.0,0.0,1399.0,237.53,11.83,0.0,0.0,11.83,60.87,117.79,257.26
"Mobile, AL",414522,193555,2014,0.005114,0.040058,4118.75,336.62,1442.67,1356.86,0.0,1356.86,291.34,12.2,0.0,0.0,12.2,61.1,116.88,282.81
"Mobile, AL",414914,192979,2015,0.005307,0.036704,4328.34,336.68,1466.2,1379.41,0.0,1379.41,320.19,10.83,0.0,0.0,10.83,64.53,118.64,281.87
"Mobile, AL",414817,192377,2016,0.005848,0.04023,4614.48,337.65,1457.71,1405.5,0.0,1405.5,351.12,14.02,0.0,0.0,14.02,62.57,157.43,293.74
