percent_race_one_race_asian,percent_race_one_race_black_or_african_american,percent_race_one_race_native_hawaiian_and_other_pacific_islander,geographic_area_name,percent_race_one_race_white,Year,percent_hispanic_or_latino
1.8,1.1,0.1,"Aberdeen, WA",84.4,2010,8.7
1.0,7.5,0.0,"Abilene, TX",84.3,2010,21.3
0.4,2.1,0.0,"Adrian, MI",93.2,2010,7.6
0.0,2.7,0.0,"Aguadilla, PR",87.3,2010,97.3
1.9,11.7,0.0,"Akron, OH",83.3,2010,1.5
1.1,53.4,0.0,"Albany, GA",43.6,2010,2.2
0.8,0.4,0.0,"Albany, OR",91.4,2010,7.9
3.0,7.7,0.0,"Albany, NY",85.3,2010,4.2
0.6,1.5,0.0,"Albertville, AL",93.1,2010,12.1
1.9,2.6,0.0,"Albuquerque, NM",70.0,2010,46.9
1.0,30.0,0.1,"Alexandria, LA",66.2,2010,3.0
0.6,1.0,0.0,"Allegan, MI",94.0,2010,6.7
2.6,5.1,0.0,"Allentown, PA",86.3,2010,13.0
0.7,1.6,0.0,"Altoona, PA",96.2,2010,1.0
2.4,5.8,0.2,"Amarillo, TX",84.9,2010,25.4
6.2,2.7,0.0,"Ames, IA",89.0,2010,3.1
6.5,4.9,1.7,"Anchorage, AK",71.1,2010,6.7
0.5,6.4,0.0,"Anderson, IN",88.8,2010,3.2
0.6,16.5,0.0,"Anderson, SC",80.6,2010,3.0
8.0,12.4,0.0,"Ann Arbor, MI",74.0,2010,4.0
0.6,21.2,0.0,"Anniston, AL",74.4,2010,3.4
2.8,0.4,0.0,"Appleton, WI",92.8,2010,3.6
1.0,4.4,0.2,"Asheville, NC",90.3,2010,6.5
0.3,3.5,0.0,"Ashtabula, OH",92.8,2010,3.4
0.2,7.0,0.0,"Athens, TX",90.2,2010,10.9
3.2,19.9,0.0,"Athens, GA",72.9,2010,8.1
4.8,32.5,0.0,"Atlanta, GA",56.4,2010,10.4
7.8,16.0,0.3,"Atlantic City, NJ",67.3,2010,16.9
2.1,3.3,0.0,"Auburn, NY",92.7,2010,2.4
2.6,23.2,0.1,"Auburn, AL",72.6,2010,3.3
1.8,35.8,0.1,"Augusta, GA",59.1,2010,4.6
0.9,0.8,0.1,"Augusta, ME",96.7,2010,1.2
4.8,7.3,0.0,"Austin, TX",76.0,2010,31.5
3.9,5.6,0.1,"Bakersfield, CA",71.7,2010,49.3
4.6,28.6,0.0,"Baltimore, MD",62.6,2010,4.6
0.8,0.5,0.0,"Bangor, ME",95.3,2010,1.1
1.2,2.3,0.0,"Barnstable Town, MA",93.6,2010,2.2
1.7,35.5,0.0,"Baton Rouge, LA",60.3,2010,3.5
1.7,9.6,0.0,"Battle Creek, MI",82.8,2010,4.6
0.5,0.9,0.0,"Bay City, MI",94.4,2010,4.7
2.5,24.3,0.1,"Beaumont, TX",66.8,2010,12.9
0.7,2.7,0.0,"Beaver Dam, WI",94.9,2010,4.0
1.1,9.3,0.0,"Beckley, WV",88.2,2010,0.7
3.7,1.0,0.1,"Bellingham, WA",87.3,2010,7.8
1.1,0.4,0.1,"Bend, OR",92.7,2010,7.5
0.8,0.5,0.0,"Billings, MT",91.4,2010,4.5
2.7,3.6,0.0,"Binghamton, NY",90.4,2010,3.0
1.2,28.4,0.0,"Birmingham, AL",67.4,2010,4.4
0.6,0.5,0.1,"Bismarck, ND",92.9,2010,0.8
3.6,4.3,0.1,"Blacksburg, VA",90.1,2010,2.4
4.1,2.4,0.0,"Bloomington, IN",91.0,2010,2.3
4.5,6.8,0.0,"Bloomington, IL",84.1,2010,4.4
1.4,1.4,0.0,"Bloomsburg, PA",96.0,2010,1.8
N,N,N,"Bluefield, WV",N,2010,0.9
2.0,0.8,0.1,"Boise City, ID",91.9,2010,12.8
6.5,7.5,0.0,"Boston, MA",79.2,2010,9.1
3.8,0.8,0.0,"Boulder, CO",86.9,2010,13.4
2.3,8.0,0.0,"Bowling Green, KY",84.2,2010,4.2
1.1,0.1,0.2,"Bozeman, MT",96.0,2010,3.3
0.4,0.7,0.3,"Brainerd, MN",93.5,2010,1.2
N,N,N,"Branson, MO",N,2010,3.4
4.6,2.8,0.9,"Bremerton, WA",82.2,2010,6.3
4.5,10.8,0.0,"Bridgeport, CT",76.0,2010,17.0
0.8,0.4,0.0,"Brownsville, TX",93.0,2010,88.1
1.0,22.5,0.0,"Brunswick, GA",72.2,2010,5.4
2.2,11.9,0.0,"Buffalo, NY",81.9,2010,4.1
0.8,18.1,0.1,"Burlington, NC",68.8,2010,11.0
2.2,1.5,0.0,"Burlington, VT",93.7,2010,2.1
0.6,7.1,0.0,"Canton, OH",89.4,2010,1.6
1.4,8.3,0.0,"Cape Coral, FL",84.1,2010,18.4
N,N,N,"Cape Girardeau, MO",N,2010,2.0
2.7,0.7,0.0,"Carson City, NV",87.0,2010,21.4
0.6,0.6,0.0,"Casper, WY",93.2,2010,7.0
1.4,4.1,0.0,"Cedar Rapids, IA",91.7,2010,2.4
0.7,0.1,0.0,"Centralia, WA",90.0,2010,8.7
0.7,3.0,0.0,"Chambersburg, PA",93.5,2010,4.3
8.1,10.9,0.0,"Champaign, IL",78.4,2010,4.6
0.8,2.7,0.0,"Charleston, WV",92.3,2010,1.0
1.3,27.7,0.0,"Charleston, SC",66.4,2010,5.4
3.1,23.8,0.0,"Charlotte, NC",67.6,2010,9.9
3.9,12.7,0.0,"Charlottesville, VA",80.2,2010,4.7
1.3,14.0,0.0,"Chattanooga, TN",81.2,2010,3.7
0.4,3.0,0.2,"Cheyenne, WY",86.8,2010,13.1
5.7,17.3,0.0,"Chicago, IL",66.3,2010,20.8
4.3,1.4,0.2,"Chico, CA",84.0,2010,14.3
N,N,N,"Chillicothe, OH",N,2010,2.2
1.9,12.1,0.0,"Cincinnati, OH",83.3,2010,2.6
0.1,1.5,0.2,"Clarksburg, WV",96.0,2010,0.9
1.8,18.2,0.3,"Clarksville, TN",74.5,2010,6.7
0.8,2.3,0.0,"Clearlake, CA",82.1,2010,17.3
0.7,4.0,0.4,"Cleveland, TN",93.6,2010,4.3
2.0,20.0,0.0,"Cleveland, OH",74.5,2010,4.7
0.0,6.6,0.0,"Coamo, PR",65.4,2010,99.9
1.0,0.3,0.1,"Coeur d'Alene, ID",95.1,2010,3.8
4.1,12.0,0.0,"College Station, TX",76.4,2010,22.8
2.2,5.9,0.2,"Colorado Springs, CO",81.7,2010,14.7
3.7,9.3,0.1,"Columbia, MO",83.0,2010,2.9
1.5,33.9,0.1,"Columbia, SC",61.2,2010,4.9
N,N,N,"Columbia, TN",N,2010,4.8
1.9,41.4,0.0,"Columbus, GA",52.2,2010,5.7
3.8,1.3,0.0,"Columbus, IN",91.7,2010,6.3
3.3,15.0,0.0,"Columbus, OH",78.2,2010,3.6
1.6,1.3,0.0,"Concord, NH",95.6,2010,1.6
N,N,N,"Cookeville, TN",N,2010,3.8
1.5,0.5,0.0,"Coos Bay, OR",90.9,2010,3.5
1.3,2.0,0.0,"Corning, NY",95.2,2010,1.4
1.3,3.5,0.1,"Corpus Christi, TX",87.9,2010,58.2
5.3,0.9,0.1,"Corvallis, OR",89.5,2010,6.5
3.1,10.4,0.0,"Crestview, FL",81.5,2010,6.9
0.1,1.5,0.0,"Cullman, AL",95.6,2010,4.3
0.5,6.9,0.0,"Cumberland, MD",90.5,2010,1.1
5.3,14.8,0.1,"Dallas, TX",68.4,2010,27.6
1.0,3.1,0.0,"Dalton, GA",88.1,2010,26.5
0.3,13.6,0.0,"Danville, IL",82.9,2010,4.2
0.9,30.2,0.0,"Danville, VA",65.4,2010,3.3
0.6,9.4,0.0,"Daphne, AL",87.0,2010,4.4
1.4,7.4,0.0,"Davenport, IA",85.3,2010,7.7
1.9,15.0,0.0,"Dayton, OH",79.9,2010,2.1
0.6,11.0,0.0,"Decatur, AL",82.3,2010,6.4
1.0,16.5,0.0,"Decatur, IL",79.5,2010,1.9
1.6,10.5,0.0,"Deltona, FL",80.7,2010,11.2
3.6,5.4,0.1,"Denver, CO",80.1,2010,22.5
3.1,4.7,0.0,"Des Moines, IA",87.2,2010,6.7
3.3,22.8,0.0,"Detroit, MI",70.2,2010,3.9
1.2,23.2,0.0,"Dothan, AL",72.5,2010,2.3
1.6,24.1,0.3,"Dover, DE",69.6,2010,5.8
0.5,2.5,0.0,"DuBois, PA",95.3,2010,1.1
N,N,N,"Dubuque, IA",N,2010,2.0
0.8,1.6,0.0,"Duluth, MN",92.5,2010,1.1
1.1,21.7,0.0,"Dunn, NC",69.0,2010,10.8
4.3,27.1,0.0,"Durham, NC",60.4,2010,11.3
0.5,2.0,0.0,"East Liverpool, OH",95.6,2010,1.3
1.9,14.8,0.0,"East Stroudsburg, PA",79.6,2010,13.1
2.8,0.6,0.0,"Eau Claire, WI",94.2,2010,1.7
1.6,3.3,0.0,"El Centro, CA",55.8,2010,80.4
1.2,11.9,0.2,"Elizabethtown, KY",82.7,2010,4.4
1.1,5.8,0.0,"Elkhart, IN",87.0,2010,14.1
1.0,6.8,0.0,"Elmira, NY",88.6,2010,1.6
1.0,3.2,0.0,"El Paso, TX",78.5,2010,82.3
0.9,18.4,0.0,"Enterprise, AL",76.1,2010,6.0
1.3,7.2,0.0,"Erie, PA",88.8,2010,3.4
2.3,0.8,0.3,"Eugene, OR",89.4,2010,7.5
2.0,1.1,0.5,"Eureka, CA",82.7,2010,9.9
0.7,6.5,0.0,"Evansville, IN",89.8,2010,1.9
3.1,4.2,0.4,"Fairbanks, AK",78.1,2010,5.8
0.1,9.2,0.0,"Fajardo, PR",56.5,2010,99.0
2.1,2.1,0.0,"Fargo, ND",92.0,2010,2.6
N,N,N,"Farmington, MO",N,2010,1.6
0.1,0.2,0.2,"Farmington, NM",55.6,2010,19.2
2.1,35.1,0.4,"Fayetteville, NC",51.2,2010,9.9
2.4,2.2,1.0,"Fayetteville, AR",83.5,2010,15.0
N,N,N,"Findlay, OH",N,2010,4.5
1.5,1.3,0.2,"Flagstaff, AZ",61.1,2010,13.6
1.0,19.9,0.1,"Flint, MI",75.1,2010,3.1
0.8,42.1,0.0,"Florence, SC",55.2,2010,0.9
0.5,13.0,0.0,"Florence, AL",84.4,2010,1.6
1.0,1.4,0.0,"Fond du Lac, WI",94.7,2010,4.3
N,N,N,"Forest City, NC",N,2010,3.6
1.8,1.0,0.2,"Fort Collins, CO",91.2,2010,10.6
0.0,1.7,0.0,"Fort Payne, AL",90.7,2010,13.5
2.3,3.8,0.0,"Fort Smith, AR",82.1,2010,7.8
2.2,10.1,0.0,"Fort Wayne, IN",82.6,2010,5.8
1.3,7.2,0.0,"Frankfort, KY",87.0,2010,2.0
9.5,5.1,0.1,"Fresno, CA",59.2,2010,50.4
0.3,15.8,0.0,"Gadsden, AL",82.4,2010,3.3
5.2,19.4,0.0,"Gainesville, FL",71.5,2010,8.5
1.8,7.4,0.0,"Gainesville, GA",81.2,2010,26.2
1.5,6.6,0.0,"Galesburg, IL",87.6,2010,5.7
0.7,0.5,0.1,"Gallup, NM",16.3,2010,13.4
0.3,2.0,0.0,"Gettysburg, PA",93.8,2010,6.0
0.9,1.7,0.1,"Glens Falls, NY",95.8,2010,2.1
1.4,31.9,0.1,"Goldsboro, NC",56.8,2010,9.9
1.9,2.0,0.3,"Grand Forks, ND",90.8,2010,3.7
0.9,1.9,0.0,"Grand Island, NE",93.2,2010,19.6
0.5,0.4,0.2,"Grand Junction, CO",90.5,2010,13.4
1.9,8.2,0.0,"Grand Rapids, MI",85.1,2010,8.5
0.4,0.2,0.3,"Grants Pass, OR",93.6,2010,6.3
0.7,1.4,0.0,"Great Falls, MT",90.5,2010,3.4
1.3,0.9,0.0,"Greeley, CO",89.1,2010,28.5
2.1,1.4,0.0,"Green Bay, WI",90.7,2010,6.2
N,N,N,"Greeneville, TN",N,2010,1.8
3.1,25.0,0.0,"Greensboro, NC",66.3,2010,7.6
1.4,35.3,0.0,"Greenville, NC",58.3,2010,5.6
1.7,16.4,0.0,"Greenville, SC",78.2,2010,6.8
1.1,31.0,0.0,"Greenwood, SC",63.1,2010,5.4
0.0,10.7,0.0,"Guayama, PR",50.3,2010,99.8
2.5,19.5,0.0,"Gulfport, MS",74.0,2010,5.1
1.0,8.5,0.0,"Hagerstown, MD",87.3,2010,3.5
0.7,30.6,0.0,"Hammond, LA",67.4,2010,3.5
4.2,7.6,0.0,"Hanford, CA",76.2,2010,51.0
2.6,10.2,0.1,"Harrisburg, PA",83.1,2010,4.7
1.2,4.4,0.0,"Harrisonburg, VA",91.0,2010,9.3
3.8,10.5,0.1,"Hartford, CT",77.3,2010,12.5
0.3,30.4,0.0,"Hattiesburg, MS",67.2,2010,2.3
0.5,0.6,0.1,"Helena, MT",93.4,2010,2.5
2.4,7.1,0.1,"Hickory, NC",85.6,2010,6.3
