Bureau of Justice Statistics,,
Filename: cv17at06.csv,,
"Appendix table 6. Standard errors for table 4: Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2017",,
"Report title: Criminal Victimization, 2017   NCJ 252472",,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2017 Public-Use File; and FBI, Crime in the United States, 2017, table 1",,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 12/19/18,,
,,
"Appendix table 6. Standard errors for table 4: Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2017",,
,,
Type of crime,,"NCVS rate per 1,000 persons age 12 or older"
Serious violent crime,,0.39
,Murder, ~ 
,Rape,0.11
,Robbery,0.17
,Aggravated assault,0.26
,,
,,"NCVS rate per 1,000 households "
Property crime,,1.11
,Burglary,0.54
,Motor vehicle theft,0.3
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2017 Public-Use File; and FBI, Crime in the United States, 2017, https://ucr.fbi.gov/crime-in-the-u.s/2017/crime-in-the-u.s.-2017/topic-pages/tables/table-1.",,
