Bureau of Justice Statistics,,,,,,,,
Filename: cv17at10.csv,,,,,,,,
"Appendix table 10. Standard errors for table 8: Rate of violent victimization and serious violent victimization, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/19/18,,,,,,,,
,,,,,,,,
"Appendix table 10. Standard errors for table 8: Rate of violent victimization and serious violent victimization, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,
,,Violent victimization,,,,Serious violent victimization,,
Victim demographic characteristic,,2015,2016,2017,,2015,2016,2017
,Total,1.16,0.95,1.03,,0.6,0.47,0.53
Sex,,,,,,,,
,Male,1.57,1.47,1.49,,0.76,0.71,0.73
,Female,1.87,1.45,1.49,,0.98,0.7,0.77
Race/Hispanic origin,,,,,,,,
,White,1.54,1.36,1.4,,0.74,0.61,0.67
,Black,3.02,2.44,2.42,,1.59,1.17,1.27
,Hispanic,2.28,1.96,2.1,,1.31,1.15,1.27
,Asian,2.1,2.15,1.51,,1.41,1.41,0.83
,Other,11.55,6.38,6.75,,6.35,3.25,3.55
Age,,,,,,,,
,12–17,4.08,2.9,3.48,,1.68,1.17,1.67
,18–24,3.31,3.03,3.35,,1.91,1.69,2.23
,25–34,2.7,2.62,2.48,,1.55,1.54,1.2
,35–49,2.49,2.02,1.88,,1.24,0.88,0.98
,50–64,1.82,1.54,1.63,,0.99,0.73,0.7
,65 or older,1.04,0.87,0.98,,0.48,0.32,0.45
Marital status,,,,,,,,
,Never married,2.43,2.03,2.18,,1.22,1.03,1.17
,Married,1.15,1.01,1.01,,0.57,0.43,0.44
,Widowed,2.13,2.33,2.15,,1.12,0.81,1.3
,Divorced,4.28,3.06,3.1,,2.26,1.79,1.56
,Separated,8.01,9.08,7.63,,5.41,4.28,4.25
Household income,,,,,,,,
,"Less than $10,000",5.48,4.17,5.25,,3.33,2.48,3.18
,"$10,000–$14,999",4.62,4.13,3.4,,2.74,2.07,1.89
,"$15,000–$24,999",3.55,3.21,2.97,,1.7,1.91,1.53
,"$25,000–$34,999",2.44,2.3,2.72,,1.21,1.09,1.52
,"$35,000–$49,999",2.65,2.07,2.02,,1.33,1.04,1.13
,"$50,000–$74,999",2.16,1.71,1.96,,1.12,0.83,0.9
,"$75,000 or more",1.52,1.36,1.32,,0.76,0.55,0.61
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,,,,,
