Bureau of Justice Statistics,,,,,,,,
Filename: cv17at12.csv,,,,,,,,
"Appendix table 12. Standard errors for table 10: Nonfatal violent incidents, by total population, victim, and offender demographic characteristics, 2017",,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 Public-Use File",,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/19/18,,,,,,,,
,,,,,,,,
"Appendix table 12. Standard errors for table 10: Nonfatal violent incidents, by total population, victim, and offender demographic characteristics, 2017",,,,,,,,
,,Victim,,,,Offender,,
Demographic characteristic,,Number of incidents,Percent,,,Number of incidents,Percent,
,Total,"265,684",~,,,"265,684",~,
Sex,,,,,,,,
,Male,"193,522",2.27,%,,"245,709",2.03,%
,Female,"199,259",2.28,,,"100,513",1.65,
,Both male and female offenders,~,~,,,"34,849",0.67,
Race/Hispanic origin,,,,,,,,
,White,"229,015",2.25,%,,"177,503",2.27,%
,Black,"81,311",1.34,,,"111,010",1.81,
,Hispanic,"92,995",1.49,,,"77,433",1.38,
,Asian,"25,411",0.47,,,"14,329",0.29,
,Other,"43,420",0.78,,,"58,697",1.1,
,Multiple offenders of various races,~,~,,,"19,598",0.4,
Age,,,,,,,,
,12 or younger,~,~,,,"24,777",0.51,%
,12–17,"87,946",1.43,%,,"78,980",1.43,
,18–20,"60,385",1.04,,,"49,555",0.97,
,21–29,"107,778",1.67,,,"96,352",1.67,
,30 or older,"211,378",2.29,,,"174,227",2.27,
,Multiple offenders of various ages,~,~,,,"36,177",0.73,
*Comparison group.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 Public-Use File.",,,,,,,,
