Bureau of Justice Statistics,,,,,,,,,,,,
Filename: cv17at13.csv,,,,,,,,,,,,
"Appendix table 13. Standard errors for table 11: Number of victims and prevalence rate, by type of crime, 2015, 2016, and 2017",,,,,,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,
Date of version: 12/19/18,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 13. Standard errors for table 11: Number of victims and prevalence rate, by type of crime, 2015, 2016, and 2017",,,,,,,,,,,,
,,,Number of victims,,,,Prevalence rate,,,,,
Type of crime,,,2015,2016,2017,,2015,,2016,,2017,
Violent crime,,,"114,796","98,610","105,403",,0.041,%,0.036,%,0.038,%
,Rape/sexual assault,,"27,828","22,990","18,642",,0.01,,0.008,,0.007,
,Robbery,,"36,761","28,206","34,671",,0.014,,0.01,,0.013,
,Assault,,"103,323","92,481","97,147",,0.037,,0.034,,0.035,
,,Aggravated assault,"42,526","50,020","43,542",,0.016,,0.018,,0.016,
,,Simple assault,"88,692","78,887","83,931",,0.032,,0.029,,0.031,
,Domestic violence,,"42,869","35,899","36,762",,0.016,,0.013,,0.013,
,,Intimate partner violence,"35,432","25,976","27,569",,0.013,,0.01,,0.01,
,Stranger violence,,"67,100","65,338","71,404",,0.025,,0.024,,0.027,
,Violent crime involving injury,,"55,136","48,732","41,379",,0.02,,0.018,,0.015,
Serious violent crime,,,"60,663","59,666","57,738",,0.023,%,0.022,%,0.021,%
,Serious domestic violence,,"27,102","20,952","22,439",,0.01,,0.008,,0.008,
,,Serious intimate partner violence,"20,437","17,610","17,731",,0.008,,0.007,,0.007,
,Serious stranger violence,,"38,517","42,521","38,866",,0.014,,0.016,,0.014,
,Serious violent crime involving weapons,,"41,979","50,710","50,006",,0.016,,0.019,,0.018,
,Serious violent crime involving injury,,"36,972","40,753","29,557",,0.014,,0.015,,0.011,
Property crime,,,"243,226","188,207","166,394",,0.166,%,0.141,%,0.124,%
,Household burglary,,"88,850","64,413","67,513",,0.065,,0.048,,0.053,
,Motor vehicle theft,,"37,158","37,809","31,188",,0.028,,0.028,,0.025,
,Other theft,,"206,731","160,814","148,890",,0.144,,0.12,,0.112,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,,,,,,,,,
