Bureau of Justice Statistics,,,,,,,,,,,
Filename: cv17at14.csv,,,,,,,,,,,
"Appendix table 14. Standard errors for table 12: Prevalence of violent crime, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 12/19/18,,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 14. Standard errors for table 12: Prevalence of violent crime, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,,,,
,,Number of victims,,,,Prevalence rate,,,,,
Victim demographic characteristic,,2015,2016,2017,,2015,,2016,,2017,
,Total,"114,796","98,610","105,403",,0.041,%,0.036,%,0.038,%
Sex,,,,,,,,,,,
,Male,"73,258","69,568","77,130",,0.056,%,0.053,%,0.057,%
,Female,"76,416","63,121","67,275",,0.053,,0.045,,0.048,
Race/Hispanic origin,,,,,,,,,,,
,White,"89,404","68,491","80,825",,0.049,%,0.039,%,0.044,%
,Black,"41,050","33,953","34,805",,0.121,,0.101,,0.103,
,Hispanic,"41,842","49,641","41,936",,0.085,,0.108,,0.092,
,Asian,"14,594","19,128","13,341",,0.098,,0.122,,0.081,
,Other,"21,371","19,470","20,478",,0.401,,0.347,,0.318,
Age,,,,,,,,,,,
,12–17,"37,288","33,013","38,691",,0.141,%,0.132,%,0.16,%
,18–24,"44,460","38,603","40,110",,0.144,,0.127,,0.131,
,25–34,"39,818","47,256","39,268",,0.089,,0.107,,0.089,
,35–49,"49,210","41,698","39,338",,0.08,,0.068,,0.065,
,50–64,"39,308","34,644","41,777",,0.062,,0.055,,0.065,
,65 or older,"20,567","21,991","22,991",,0.044,,0.046,,0.046,
Marital status,,,,,,,,,,,
,Never married,"82,175","74,103","78,598",,0.085,%,0.078,%,0.083,%
,Married,"46,990","45,252","43,799",,0.036,,0.036,,0.034,
,Widowed,"16,233","15,558","15,866",,0.11,,0.104,,0.103,
,Divorced,"36,696","30,684","38,579",,0.134,,0.113,,0.142,
,Separated,"14,078","17,755","17,247",,0.274,,0.351,,0.341,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,,,,,,,,
