Bureau of Justice Statistics,,,,,,,,
Filename: cv17at16.csv,,,,,,,,
"Appendix table 16. Standard errors for table 14: Prevalence of violent crime, burglary, or motor vehicle theft, by demographic characteristics of victims, 2016 and 2017",,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016 and 2017 Public-Use Files",,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/19/18,,,,,,,,
,,,,,,,,
"Appendix table 16. Standard errors for table 14: Prevalence of violent crime, burglary, or motor vehicle theft, by demographic characteristics of victims, 2016 and 2017",,,,,,,,
,,Number of victims,,,Prevalence rate,,,
Victim demographic characteristic,,2016,2017,,2016,,2017,
,Total ,"234,648","232,328",,0.036,%,0.082,%
Sex,,,,,,,,
,Male,"142,851","136,104",,0.108,%,0.097,%
,Female,"127,642","132,139",,0.091,,0.094,
Race/Hispanic origin,,,,,,,,
,White,"159,353","184,818",,0.091,%,0.098,%
,Black,"81,664","84,867",,0.242,,0.243,
,Hispanic,"115,419","94,669",,0.244,,0.203,
,Asian,"51,599","27,168",,0.322,,0.168,
,Other,"32,914","32,974",,0.577,,0.471,
Age,,,,,,,,
,12–17,"66,001","66,022",,0.264,%,0.261,%
,18–24,"79,448","66,310",,0.262,,0.217,
,25–34,"85,128","72,004",,0.191,,0.16,
,35–49,"76,607","77,679",,0.126,,0.126,
,50–64,"74,533","70,546",,0.118,,0.106,
,65 or older,"53,517","50,543",,0.111,,0.095,
Marital status,,,,,,,,
,Never married,"146,092","128,561",,0.151,%,0.135,%
,Married,"112,564","121,969",,0.088,,0.092,
,Widowed,"31,034","28,280",,0.206,,0.178,
,Divorced,"52,668","55,552",,0.187,,0.2,
,Separated,"24,636","24,970",,0.48,,0.472,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016 and 2017 Public-Use Files.",,,,,,,,
