Bureau of Justice Statistics,,,,
Filename: cv17f01.csv,,,,
"Figure 1. Prevalence rate of violent crime, by demographic characteristics of victims, 2016–2017 and 2015–2017 ",,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 12/19/18,,,,
,,,,
"Figure 1. Prevalence rate of violent crime, by demographic characteristics of victims, 2016–2017 and 2015–2017 ",,,,
2016-2017,,,,
,2016,,2017,
Females,0.98,,1.11,†
Whites,1.03,,1.17,†
Ages 12 to 17,1.25,,1.84,†
Age 65 or older,0.36,,0.48,†
Never-married persons,1.49,,1.67,‡
,,,,
2015-2017,,,,
,2015,,2017,
Total,0.98,,1.14,†
Males,0.94,,1.17,†
Whites,0.96,,1.17,†
Ages 25 to 34,1.09,,1.49,†
Ages 65 or older,0.29,,0.48,†
Note: The prevalence rate is the percentage of persons age 12 or older who experienced at least one violent crime victimization during the year. See appendix table 1 for estimates.,,,,
*Comparison year.,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,
