Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: cv17t01.csv,,,,,,,,,,,,,
"Table 1. Violent victimization, by type of crime, 2015, 2016, and 2017",,,,,,,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 12/19/18,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 1. Violent victimization, by type of crime, 2015, 2016, and 2017",,,,,,,,,,,,,
,,,2015*,,2017,,,2016*,,2017,,,
Type of violent crime,,,Number,"Rate per 1,000/a",Number,,"Rate per 1,000/a",Number,"Rate per 1,000/a",Number,,"Rate per 1,000/a",
Violent crime/b,,,"5,006,620",18.6,"5,612,670",,20.6,"5,353,820",19.7,"5,612,670",,20.6,
,Rape/sexual assault/c,,"431,840",1.6,"393,980",,1.4,"298,410",1.1,"393,980",,1.4,
,Robbery,,"578,580",2.1,"613,840",,2.3,"458,810",1.7,"613,840", ‡,2.3, ‡
,Assault,,"3,996,200",14.8,"4,604,850", ‡,16.9,"4,596,600",16.9,"4,604,850",,16.9,
,,Aggravated assault,"816,760",3,"993,170",,3.6,"1,040,580",3.8,"993,170",,3.6,
,,Simple assault,"3,179,440",11.8,"3,611,680",,13.3,"3,556,020",13.1,"3,611,680",,13.3,
,Domestic violence/d,,"1,094,660",4.1,"1,237,960",,4.5,"1,068,120",3.9,"1,237,960",,4.5,
,,Intimate partner violence/e,"806,050",3,"666,310",,2.4,"597,200",2.2,"666,310",,2.4,
,Stranger violence,,"1,821,310",6.8,"2,034,100",,7.5,"2,082,410",7.7,"2,034,100",,7.5,
,Violent crime involving injury,,"1,303,290",4.8,"1,248,480",,4.6,"1,220,640",4.5,"1,248,480",,4.6,
Serious violent crime/f,,,"1,827,170",6.8,"2,000,990",,7.3,"1,797,790",6.6,"2,000,990",,7.3,
,Serious domestic violence/d,,"460,450",1.7,"465,150",,1.7,"359,740",1.3,"465,150",,1.7,
,,Serious intimate partner violence/e,"333,210",1.2,"273,440",,1,"265,770",1,"273,440",,1,
,Serious stranger violence,,"690,550",2.6,"784,370",,2.9,"780,580",2.9,"784,370",,2.9,
,Serious violent crime involving a weapon,,"977,840",3.6,"1,260,810",,4.6,"1,203,200",4.4,"1,260,810",,4.6,
,Serious violent crime involving injury,,"658,040",2.4,"643,760",,2.4,"668,230",2.5,"643,760",,2.4,
"Note: Details may not sum to totals due to rounding. Violent crime classifications include rape or sexual assault, robbery, aggravated assault, and simple assault, and they include threatened, attempted, and completed crimes. Other violent crime categories in this table, including domestic violence and violent crime involving injury, are not mutually exclusive from these classifications. There were 269,526,470 persons age 12 or older living in non-institutionalized residential settings in the United States in 2015, 272,204,190 in 2016, and 272,468,480 in 2017. See appendix table 3 for standard errors.",,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,
"a/Rate is per 1,000 persons age 12 or older.",,,,,,,,,,,,,
b/Excludes homicide because the National Crime Victimization Survey (NCVS) is based on interviews with victims and cannot measure murder.,,,,,,,,,,,,,
c/See Methodology for details on the measurement of rape or sexual assault in the NCVS.,,,,,,,,,,,,,
d/Includes victimization committed by intimate partners and family members.,,,,,,,,,,,,,
"e/Includes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,,,,
"f/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,,,,,,,,,,
