Bureau of Justice Statistics,,,,,,,,,
Filename: cv17t02.csv,,,,,,,,,
"Table 2. Firearm violence, 2015, 2016, and 2017",,,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 12/19/18,,,,,,,,,
,,,,,,,,,
"Table 2. Firearm violence, 2015, 2016, and 2017",,,,,,,,,
,,2015*,,2017,,2016*,,2017,
Firearm incidents/a,,"260,200",,"417,780", †,"414,440",,"417,780",
Firearm victimizations/b,,"284,910",,"456,270", †,"486,590",,"456,270",
Rate of firearm victimization/c,,1.1,,1.7, †,1.8,,1.7,
Firearm victimizations reported to police,,,,,,,,,
,Number,"217,850",,"254,910",,"314,500",,"254,910",
,Percent,76.5,%,55.9,% †,64.6,%,55.9,%
"Note: Includes violent incidents and victimizations in which the offender possessed, showed, or used a firearm. See appendix table 4 for standard errors.",,,,,,,,,
*Comparison year.,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,
a/An incident is a specific criminal act involving one or more victims or victimizations. ,,,,,,,,,
b/Each victimization represents one person involved in an incident.,,,,,,,,,
"c/Rate is per 1,000 persons age 12 or older.",,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,,,,,,
