Bureau of Justice Statistics,,,
Filename: cv17t04.csv,,,
"Table 4. Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2017",,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2017 Public-Use File; and FBI, Crime in the United States, 2017, table 1",,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 12/19/18,,,
,,,
"Table 4. Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2017",,,
,,,
Type of crime,,"UCR rate per 1,000 residents/a","NCVS rate per 1,000 persons age 12 or older"
Serious violent crime/b,,3.8,3.8
,Murder,0.1, ~ 
,Rape/c,0.4,0.6
,Robbery,1,1.1
,Aggravated assault,2.5,2.1
,,"UCR rate per 1,000 residents/a","NCVS rate per 1,000 households "
Property crime,,23.6,38.7
,Burglary,4.3,10.1
,Motor vehicle theft,2.4,3.3
"Note: NCVS and UCR crime rates are calculated differently. UCR crime rates are normally reported per 100,000 persons but were recalculated for this report to align with the reporting of NCVS crime rates. See appendix table 6 for standard errors.",,,
~Not applicable.,,,
"a/Includes crimes against persons age 11 or younger, persons who are homeless, persons who are institutionalized, and crimes against commercial establishments. These populations are out of sample for the NCVS.",,,
"b/In addition to rape, robbery, and aggravated assault, the NCVS includes sexual assault.",,,
c/The NCVS estimate includes sexual assault. See Methodology for details on the measurement of rape or sexual assault in the NCVS. The UCR estimate is based on the revised definition of rape.,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2017 Public-Use File; and FBI, Crime in the United States, 2017, https://ucr.fbi.gov/crime-in-the-u.s/2017/crime-in-the-u.s.-2017/topic-pages/tables/table-1.",,,
