Bureau of Justice Statistics,,,,,,,,,
Filename: cv17t06.csv,,,,,,,,,
"Table 6. Percent and rate of victimizations reported to police, by type of crime, 2016 and 2017",,,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016 and 2017 Public-Use Files",,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 12/19/18,,,,,,,,,
,,,,,,,,,
"Table 6. Percent and rate of victimizations reported to police, by type of crime, 2016 and 2017",,,,,,,,,
,,,Percent reported,,,,"Victimization rate reported per 1,000/a",,
Type of crime,,,2016*,,2017,,2016*,2017,
Violent crime/b,,,43.9,%,44.9,%,8.6,9.2,
,Rape/sexual assault/c,,23.2,,40.4, †,0.3,0.6, †
,Robbery,,57,,49,,1,1.1,
,Assault,,43.9,,44.7,,7.4,7.6,
,,Aggravated assault,59.8,,57.2,,2.3,2.1,
,,Simple assault,39.3,,41.3,,5.1,5.5,
,Domestic violence/d,,52.2,,47.2,,2,2.1,
,,Intimate partner violence/e,49,,47.5,,1.1,1.2,
,Stranger violence,,43.6,,46.9,,3.3,3.5,
,Violent crime involving injury,,48,,52.2,,2.2,2.4,
Serious violent crime/f,,,53,%,51.4,%,3.5,3.8,
,Serious domestic violence/d,,52.5,,48.3,,0.7,0.8,
,,Serious intimate partner violence/e,47.1,,51.8,,0.5,0.5,
,Serious stranger violence,,55.7,,59.4,,1.6,1.7,
,Serious violent crime involving a weapon,,60.8,,52.5,,2.7,2.4,
,Serious violent crime involving injury,,53.4,,54.4,,1.3,1.3,
Property crime,,,35.2,%,35.7,%,41.7,38.7, ‡
,Household burglary,,49,,49.1,,11.6,10.1, ‡
,Motor vehicle theft,,73.2,,79,,3.4,3.3,
,Other theft/g,,29.6,,30.2,,26.7,25.3,
"Note: Violent crime classifications include rape or sexual assault, robbery, aggravated assault, and simple assault, and they include threatened, attempted, and completed crimes. Other violent crime categories in this table, including domestic violence and violent crime involving injury, are not mutually exclusive from these classifications. See appendix table 8 for standard errors.",,,,,,,,,
*Comparison year.,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,
"a/Rates are per 1,000 persons age 12 or older for violent crime and per 1,000 households for property crime. ",,,,,,,,,
b/Excludes homicide because the National Crime Victimization Survey (NCVS) is based on interviews with victims and cannot measure murder.,,,,,,,,,
c/See Methodology for details on the measurement of rape or sexual assault in the NCVS.,,,,,,,,,
d/Includes victimization committed by intimate partners and family members.,,,,,,,,,
"e/Includes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,
"f/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,
g/Includes the taking or attempted unlawful taking of property or cash without personal contact with the victim.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016 and 2017 Public-Use Files.",,,,,,,,,
