Bureau of Justice Statistics,,,,,
Filename: cv17t07.csv,,,,,
"Table 7. Percent of violent victimizations in which victims received assistance from a victim-service agency, by type of crime, 2016 and 2017",,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016 and 2017 Public-Use Files",,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,
Date of version: 12/19/18,,,,,
,,,,,
"Table 7. Percent of violent victimizations in which victims received assistance from a victim-service agency, by type of crime, 2016 and 2017",,,,,
Type of crime,,2016*,,2017,
Violent crime/a,,9.3,%,8.3,%
,Serious violent crime/b,12.9,,10.4,
,Simple assault,7.5,,7.1,
Intimate partner violence/c,,20.4,%,14.9,%
Violent crime involving injury,,13.4,%,15.5,%
Violent crime involving a weapon,,12.4,%,9.8,%
Note: See appendix table 9 for standard errors. ,,,,,
*Comparison year.,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Includes threatened, attempted, and completed crimes. Excludes homicide because the National Crime Victimization Survey is based on interviews with victims and cannot measure murder.",,,,,
"b/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,
"c/Includes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016 and 2017 Public-Use Files.",,,,,
