Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: cv17t08.csv,,,,,,,,,,,,,
"Table 8. Rate of violent victimization and serious violent victimization, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 12/19/18,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 8. Rate of violent victimization and serious violent victimization, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,,,,,,
,,Violent victimization/a,,,,,,Serious violent victimization/b,,,,,
Victim demographic characteristic,,2015*,2017,,2016*,2017,,2015*,2017,,2016*,2017,
,Total,18.6,20.6,,19.7,20.6,,6.8,7.3,,6.6,7.3,
Sex,,,,,,,,,,,,,
,Male,15.9,20.4, †,19.6,20.4,,5.4,7,,6.6,7,
,Female,21.1,20.8,,19.7,20.8,,8.1,7.7,,6.6,7.7,
Race/Hispanic origin/c,,,,,,,,,,,,,
,White,17.4,20.8,,19.6,20.8,,6,6.9,,6,6.9,
,Black,22.6,21.8,,22.3,21.8,,8.4,7.9,,7.1,7.9,
,Hispanic,16.8,20.7,,18.2,20.7,,7.1,9.5,,7.9,9.5,
,Asian,8.2,6.9,,12.1,6.9, †,4.3,2.5,,6.1,2.5, †
,Other/d,74.4,45.5, †,38.6,45.5,,27.3,15.4,,12.5,15.4,
Age,,,,,,,,,,,,,
,12–17,31.3,33.5,,25.1,33.5, ‡,7.8,10.4,,5.9,10.4, †
,18–24,25.1,34.7, †,29.6,34.7,,10.7,18.3, †,11.9,18.3, †
,25–34,21.8,26.3,,28.4,26.3,,9.3,8.5,,12.5,8.5, †
,35–49,22.6,20.1,,22.3,20.1,,7.8,7.4,,6.3,7.4,
,50–64,14.2,16.3,,15,16.3,,5.7,4.4,,4.7,4.4,
,65 or older,5.2,6.5,,5.3,6.5,,1.5,1.8,,1.1,1.8,
Marital status,,,,,,,,,,,,,
,Never married,26.2,31.2,,27.6,31.2,,9.4,12.1,,9.8,12.1,
,Married,9.9,11.1,,11,11.1,,3.5,3.2,,3,3.2,
,Widowed,8.5,11.5,,13.4,11.5,,2.9,5,,2.3,5, ‡
,Divorced,35.3,29,,28.5,29,,13,9.7,,12.2,9.7,
,Separated,39.5,48.3,,66.4,48.3,,20.6,17.8,,18.7,17.8,
Household income,,,,,,,,,,,,,
,"Less than $10,000",39.2,49.8,,34.5,49.8, †,17.7,22,,15.1,22, ‡
,"$10,000–$14,999",27.7,21.9,,30.8,21.9, ‡,12,8.3,,10,8.3,
,"$15,000–$24,999",25.9,26.3,,30.6,26.3,,8.2,9.2,,13.5,9.2, ‡
,"$25,000–$34,999",16.3,24.5, †,19.4,24.5,,5.5,9.7, †,6,9.7, ‡
,"$35,000–$49,999",20.5,18.8,,19.2,18.8,,7.1,7.6,,6.6,7.6,
,"$50,000–$74,999",16.3,19.4,,15.4,19.4,,5.9,5.8,,5,5.8,
,"$75,000 or more",12.8,14.6,,15.2,14.6,,4.5,4.5,,3.9,4.5,
"Note: Rate per 1,000 persons. See appendix table 10 for standard errors.",,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Includes threatened, attempted, and completed crimes. Excludes homicide because the National Crime Victimization Survey is based on interviews with victims and cannot measure murder.",,,,,,,,,,,,,
"b/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,,,,
"c/Excludes persons of Hispanic/Latino origin, unless specified.",,,,,,,,,,,,,
d/Includes American Indians and Alaska Natives; Native Hawaiians and Other Pacific Islanders; and persons of two or more races.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,,,,,,,,,,
