Bureau of Justice Statistics,,,,,,,
Filename: slgeppus0017t03.csv,,,,,,,
"Table 3. Nominal (not inflation-adjusted) state and local government expenditures on police protection in the U.S., 2000-2017",,,,,,,
"Report title: State and Local Government Expenditures on Police Protection in the U.S., 2000-2017   NCJ 254856",,,,,,,
"Data Source: BJS analysis of Annual Survey of State and Local Government Finances, U.S. Census Bureau, 2000-2017",,,,,,,
"Authors: Emily Buehler, Ph.D., and Kevin Scott, Ph.D., BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 7/13/2020,,,,,,,
,,,,,,,
"Table 3. Nominal (not inflation-adjusted) state and local government expenditures on police protection in the U.S., 2000-2017",,,,,,,
Year,Nominal police-protection expenditures (thousands of dollars),Nominal direct general expenditures (thousands of dollars),U.S. population,Nominal police-protection expenditures per capita,Nominal direct general expenditures per capita,Police-protection expenditures as a percent of direct general expenditures,
2000,"$56,798,071 ","$1,502,767,621 ","282,162,411",$201.30 ,"$5,325.90 ",3.78,%
2001,"$59,584,216 ","$1,621,757,357 ","284,968,955",$209.09 ,"$5,691.00 ",3.67,%
2002,"$64,458,395 ","$1,732,478,495 ","287,625,193",$224.11 ,"$6,023.39 ",3.72,%
2003,"$67,361,388 ","$1,817,512,846 ","290,107,933",$232.19 ,"$6,264.95 ",3.71,%
2004,"$70,088,308 ","$1,903,915,350 ","292,805,298",$239.37 ,"$6,502.33 ",3.68,%
2005,"$74,131,066 ","$2,007,490,261 ","295,516,599",$250.85 ,"$6,793.16 ",3.69,%
2006,"$78,471,954 ","$2,117,161,432 ","298,379,912",$262.99 ,"$7,095.52 ",3.71,%
2007,"$84,002,152 ","$2,259,364,055 ","301,231,207",$278.86 ,"$7,500.43 ",3.72,%
2008,"$89,463,025 ","$2,401,417,374 ","304,093,966",$294.20 ,"$7,896.96 ",3.73,%
2009,"$95,017,084 ","$2,495,901,060 ","306,771,529",$309.73 ,"$8,136.03 ",3.81,%
2010,"$95,771,705 ","$2,537,891,917 ","309,338,421",$309.60 ,"$8,204.26 ",3.77,%
2011,"$96,766,175 ","$2,579,508,975 ","311,644,280",$310.50 ,"$8,277.09 ",3.75,%
2012,"$96,879,449 ","$2,588,307,963 ","313,993,272",$308.54 ,"$8,243.20 ",3.74,%
2013,"$98,866,963 ","$2,623,304,879 ","316,234,505",$312.64 ,"$8,295.44 ",3.77,%
2014,"$101,751,011 ","$2,710,967,361 ","318,622,525",$319.35 ,"$8,508.40 ",3.75,%
2015,"$105,164,305 ","$2,839,458,295 ","321,039,839",$327.57 ,"$8,844.57 ",3.7,%
2016,"$109,210,078 ","$2,944,651,388 ","323,405,935",$337.69 ,"$9,105.12 ",3.71,%
2017,"$114,503,466 ","$3,071,187,371 ","325,719,178",$351.54 ,"$9,428.94 ",3.73,%
"Note: Police-protection expenditures are funds spent on regular police services, police patrols and communications, crime-prevention activities, temporary lockups and holding tanks, traffic safety and engineering (but not highway planning and engineering), vehicular inspection and licensing, buildings used exclusively for police purposes, maintenance of buildings used for police purposes, medical examiners and coroners, law enforcement activities of sheriffs’ offices, and, if employed by a police agency, unsworn school-crossing guards, parking meter-readers, and animal wardens. ",,,,,,,
"Source: BJS analysis of Annual Survey of State and Local Government Finances, U.S. Census Bureau, 2000-2017.",,,,,,,
