"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
998,United States (Metropolitan Portion),1,Personal income (thousands of dollars),7647165674,7946989970,8084384721,8364828309,8852328826,9369451842,10087408892,10644986044,11006912097,10642905674,11074965986,11761363843,12390306960,12537767993,13287474613,13976306581,14403844319,15127538044,15951832030,16588017991
998,United States (Metropolitan Portion),2,Population (persons) 1/,237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263659818,265915376,268257478,270477172,272833530,275213283,277549164,279600267,281282602,282828601
998,United States (Metropolitan Portion),3,Per capita personal income (dollars) 2/,32138,33014,33233,34060,35678,37381,39831,41595,42559,40745,42005,44230,46188,46354,48702,50784,51897,54104,56711,58650
10180,"Abilene, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3675392,3753367,3905004,4137066,4325061,4552568,4850810,5119572,5632799,5415851,5705250,6052939,6356517,6534805,7010125,6872897,6797808,6966419,7459618,7837655
10180,"Abilene, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060
10180,"Abilene, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,22930,23618,24558,26050,27005,28319,30057,31598,34662,33046,34455,36325,37963,39020,41642,40503,39983,40876,43585,45552
10420,"Akron, OH (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),20750568,21099545,21415769,22250786,23095011,23725368,24662208,25942891,27003814,26175360,26886702,28023720,28861978,29411698,30821441,31731732,32153668,33455069,34880215,35944121
10420,"Akron, OH (Metropolitan Statistical Area)",2,Population (persons) 1/,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479
10420,"Akron, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29816,30224,30614,31735,32908,33773,35110,36881,38396,37215,38244,39852,41108,41800,43724,45049,45704,47522,49556,51095
10500,"Albany, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3448146,3544067,3695068,3833427,3930646,4064538,4154201,4311977,4490088,4591059,4727287,5075541,5101696,5051615,5168357,5272524,5324540,5446810,5622985,5857583
10500,"Albany, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726
10500,"Albany, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,22451,23054,24147,25090,25709,26580,27057,28062,29190,29733,30668,32842,33133,33089,34014,35060,35702,36780,38034,39922
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2375900,2593500,2670594,2730439,2914377,3029078,3282355,3446514,3562032,3565145,3697969,3825868,3964446,4026793,4293341,4610378,4836624,5147507,5522081,5816653
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749
