City,Year,"Total Revenue","Individual Income Tax","Education Services Expenditure","Social Services and Income Maintenance Expenditure","Transportation Expenditure","Police Protection Expenditure","Environment and Housing Expenditure","Total Expenditures","Intergovernmental Expenditures","Current Operations","Assistance and Subsidies","Census ID - City","City Population"
"AK: Anchorage",2010,"6,037",0,"2,880",104,536,434,544,"6,295",0,"4,634",0,22002001,287677
"AK: Anchorage (City)",2010,"6,037",0,"2,880",104,536,434,544,"6,295",0,"4,634",0,22002001
"AK: Anchorage (County)",2010,0,0,0,0,0,0,0,0,0,0,0
"AK: Anchorage",2011,"5,816",0,"2,787",93,501,411,389,"5,947",0,"4,667",0,22002001,293310
"AK: Anchorage (City)",2011,"5,816",0,"2,787",93,501,411,389,"5,947",0,"4,667",0,22002001
"AK: Anchorage (County)",2011,0,0,0,0,0,0,0,0,0,0,0
"AK: Anchorage",2012,"5,378",0,"2,430",97,337,447,303,"5,543",0,"4,360",0,22002001,296154
"AK: Anchorage (City)",2012,"5,378",0,"2,430",97,337,447,303,"5,543",0,"4,360",0,22002001
"AK: Anchorage (County)",2012,0,0,0,0,0,0,0,0,0,0,0
"AK: Anchorage",2013,"5,695",0,"2,472",129,453,454,274,"5,734",0,"4,540",0,22002001,298233
"AK: Anchorage (City)",2013,"5,695",0,"2,472",129,453,454,274,"5,734",0,"4,540",0,22002001
"AK: Anchorage (County)",2013,0,0,0,0,0,0,0,0,0,0,0
"AK: Anchorage",2014,"5,736",0,"2,456",82,473,469,339,"5,582",0,"4,404",0,22002001,301155
"AK: Anchorage (City)",2014,"5,736",0,"2,456",82,473,469,339,"5,582",0,"4,404",0,22002001
"AK: Anchorage (County)",2014,0,0,0,0,0,0,0,0,0,0,0
"AK: Anchorage",2015,"6,055",0,"2,730",88,546,483,414,"6,358",0,"4,759",0,22002001,299927
"AK: Anchorage (City)",2015,"6,055",0,"2,730",88,546,483,414,"6,358",0,"4,759",0,22002001
"AK: Anchorage (County)",2015,0,0,0,0,0,0,0,0,0,0,0
"AK: Anchorage",2016,"5,779",0,"2,464",85,503,481,339,"6,015",0,"4,530",0,22002001,297613
