newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Abilene, TX",394,1340.0,Abilene,City of Abilene,68,"Abilene, TX M.S.A.",3375.0,Abilene,182.0,4,116938,4897,,112.0,TX,578,2010
"Akron, OH",882,4247.0,Akron,City of Akron,159,"Akron, OH M.S.A.",5855.0,Akron,749.0,22,205760,10851,,602.0,OH,1665,2010
"Albany, GA",480,1629.0,Albany,City of Albany,28,"Albany, GA M.S.A.",3108.0,Albany,300.0,11,73034,5037,,203.0,GA,722,2010
"Albany, NY",621,926.0,Albany-Schenectady-Troy,City of Albany,42,"Albany-Schenectady-Troy, NY M.S.A.",3488.0,Albany,229.0,2,92713,4643,,316.0,NY,981,2010
"Schenectady, NY",362,856.0,Albany-Schenectady-Troy,City of Schenectady,53,"Albany-Schenectady-Troy, NY M.S.A.",2347.0,Schenectady,184.0,8,60751,3387,,256.0,NY,679,2010
"Troy, NY",262,656.0,Albany-Schenectady-Troy,City of Troy,22,"Albany-Schenectady-Troy, NY M.S.A.",1551.0,Troy,145.0,2,46861,2352,,137.0,NY,423,2010
"Albuquerque, NM",2971,5465.0,Albuquerque,City of Albuquerque,338,"Albuquerque, NM M.S.A.",18134.0,Albuquerque,2773.0,42,545389,26372,,940.0,NM,4291,2010
"Alexandria, LA",393,943.0,Alexandria,City of Alexandria,11,"Alexandria, LA M.S.A.",2714.0,Alexandria,130.0,4,49283,3787,,184.0,LA,592,2010
"Allentown, PA",196,1327.0,Allentown-Bethlehem-Easton,"City of Allentown, PA",67,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",3345.0,Allentown PA,417.0,9,108473,5089,,460.0,PA,732,2010
"Bethlehem, PA",106,445.0,Allentown-Bethlehem-Easton,"City of Bethlehem, PA",18,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",1522.0,Bethlehem PA,102.0,0,73634,2069,,110.0,PA,234,2010
"Altoona, PA",87,294.0,Altoona,City of Altoona,29,"Altoona, PA M.S.A.",616.0,Altoona,37.0,0,46213,947,,51.0,PA,167,2010
"Amarillo, TX",845,2590.0,Amarillo,City of Amarillo,91,"Amarillo, TX M.S.A.",7827.0,Amarillo,647.0,10,190393,11064,,238.0,TX,1184,2010
"Ames, IA",142,289.0,Ames,City of Ames,24,"Ames, IA M.S.A.",1217.0,Ames,50.0,1,57817,1556,,10.0,IA,177,2010
"Anchorage, AK",1701,1223.0,Anchorage,City of Anchorage,264,"Anchorage, AK M.S.A.",8178.0,Anchorage,813.0,13,290334,10214,,454.0,AK,2432,2010
"Anderson, IN",79,753.0,Anderson,City of Anderson,32,"Anderson, IN M.S.A.",2095.0,Anderson,224.0,3,57156,3072,,85.0,IN,199,2010
"Anderson, SC",143,466.0,Anderson,City of Anderson,15,"Anderson, SC M.S.A.",1342.0,Anderson,116.0,6,27325,1924,,36.0,SC,200,2010
"Ann Arbor, MI",165,524.0,Ann Arbor,City of Ann Arbor,43,"Ann Arbor, MI M.S.A.",2284.0,Ann Arbor,129.0,0,111745,2937,,76.0,MI,284,2010
"Anniston, AL",,831.0,Anniston-Oxford,City of Anniston1,23,"Anniston-Oxford, AL M.S.A.1",1107.0,Anniston,100.0,3,23703,2038,,76.0,AL,,2010
"Oxford, AL",49,162.0,Anniston-Oxford,City of Oxford1,1,"Anniston-Oxford, AL M.S.A.1",867.0,Oxford,50.0,3,18397,1079,,,AL,,2010
"Appleton, WI",172,305.0,Appleton,City of Appleton,17,"Appleton, WI M.S.A.",1379.0,Appleton,32.0,0,70975,1716,,13.0,WI,202,2010
"Asheville, NC",234,743.0,Asheville,City of Asheville,31,"Asheville, NC M.S.A.",2638.0,Asheville,290.0,2,77067,3671,,165.0,NC,432,2010
"AthensClarke County, GA",227,1334.0,Athens-Clarke County,City of Athens-Clarke County,29,"Athens-Clarke County, GA M.S.A.",3299.0,AthensClarke County,298.0,5,112851,4931,,110.0,GA,371,2010
"Atlanta, GA",3405,8016.0,Atlanta-Sandy Springs-Marietta,City of Atlanta,89,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",17741.0,Atlanta,5043.0,93,536472,30800,,2162.0,GA,5749,2010
"Sandy Springs, GA",49,718.0,Atlanta-Sandy Springs-Marietta,City of Sandy Springs,18,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",1756.0,Sandy Springs,192.0,7,82898,2666,,115.0,GA,189,2010
"Marietta, GA",314,723.0,Atlanta-Sandy Springs-Marietta,City of Marietta,10,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",1968.0,Marietta,166.0,2,65318,2857,,136.0,GA,462,2010
"Atlantic City, NJ",311,492.0,Atlantic City-Hammonton,City of Atlantic City,27,"Atlantic City-Hammonton, NJ M.S.A.",2344.0,Atlantic City,133.0,11,39787,2969,,434.0,NJ,783,2010
"Hammonton , NJ",13,72.0,Atlantic City-Hammonton,City of Hammonton ,2,"Atlantic City-Hammonton, NJ M.S.A.",175.0,Hammonton ,7.0,1,13603,254,,4.0,NJ,20,2010
"Austin, TX",2256,8749.0,Austin-Round Rock-San Marcos,City of Austin,265,"Austin-Round Rock-San Marcos, TX M.S.A.",34827.0,Austin,2250.0,38,796310,45826,,1231.0,TX,3790,2010
"Round Rock, TX",55,464.0,Austin-Round Rock-San Marcos,City of Round Rock,26,"Austin-Round Rock-San Marcos, TX M.S.A.",2452.0,Round Rock,100.0,0,111099,3016,,35.0,TX,116,2010
"San Marcos, TX",104,263.0,Austin-Round Rock-San Marcos,City of San Marcos,13,"Austin-Round Rock-San Marcos, TX M.S.A.",1390.0,San Marcos,73.0,1,55100,1726,,34.0,TX,152,2010
"Bakersfield, CA",1396,4235.0,Bakersfield-Delano,City of Bakersfield,34,"Bakersfield-Delano, CA M.S.A.",8507.0,Bakersfield,2455.0,33,333458,15197,,641.0,CA,2104,2010
"Delano, CA",186,773.0,Bakersfield-Delano,City of Delano,6,"Bakersfield-Delano, CA M.S.A.",446.0,Delano,432.0,0,54298,1651,,55.0,CA,247,2010
"Baltimore, MD",5492,7573.0,Baltimore-Towson,City of Baltimore,265,"Baltimore-Towson, MD M.S.A.",16298.0,Baltimore,4409.0,223,639929,28280,,3336.0,MD,9316,2010
"Bangor, ME",15,198.0,Bangor,City of Bangor,4,"Bangor, ME M.S.A.",1485.0,Bangor,47.0,3,31587,1730,,30.0,ME,52,2010
"Barnstable , MA",280,428.0,Barnstable Town,City of Barnstable ,29,"Barnstable Town, MA M.S.A.",833.0,Barnstable ,64.0,0,45599,1325,,46.0,MA,355,2010
