"id","state_abbr","year","offense_code","offense_name","agencies","population","total_male","total_female","m_18","m_19","m_20","m_21","m_22","m_23","m_24","m_25_29","m_30_34","m_35_39","m_40_44","m_45_49","m_50_54","m_55_59","m_60_64","m_65p","f_18","f_19","f_20","f_21","f_22","f_23","f_24","f_25_29","f_30_34","f_35_39","f_40_44","f_45_49","f_50_54","f_55_59","f_60_64","f_65p","race_agencies","race_population","white","black","asian_pacific_islander","american_indian"
1009,,2016,"ASR_ARSON","Arson",13310,264534532,4509,1426,161,180,165,150,157,140,160,748,655,549,379,308,334,223,119,81,28,33,35,52,34,45,55,241,229,189,136,107,102,74,38,28,12581,263887632,4263,1373,103,183
1010,,2016,"ASR_AST","Aggravated Assault",13310,264534532,224176,67016,5780,6482,6934,7824,8327,8595,8741,41655,35024,27837,19331,16523,13550,9190,4590,3793,1733,1957,2150,2457,2627,2692,2904,13141,10588,8121,5754,4879,3996,2343,961,713,12581,263887632,183478,94982,5365,6129
1011,,2016,"ASR_AST_SMP","Simple Assault",13310,264534532,570193,213178,14018,14756,16192,18911,20346,21466,22196,104402,88978,72203,51692,44598,36523,23302,11381,9229,6816,7127,7351,8368,8667,8936,9064,40311,32734,25716,18433,15443,12005,6697,3166,2344,12581,263887632,514297,237138,12418,14376
1012,,2016,"ASR_BRG","Burglary",13310,264534532,116213,28754,7077,6501,5568,5127,4981,4907,4978,22425,17522,12755,7861,6866,5020,2943,1119,563,1105,1100,1061,1062,1094,1163,1202,5861,4988,3665,2309,1788,1279,621,286,170,12581,263887632,101778,39235,2035,1323
1013,,2016,"ASR_DIS","Disorderly Conduct",13310,264534532,180722,68577,6997,6446,6505,8259,7595,7362,7000,30066,24432,19210,13995,13421,12472,9095,4513,3354,2974,2742,2618,2797,2883,2842,2807,12262,9622,7742,5666,5047,4085,2464,1098,928,12581,263887632,161655,73552,2556,9460
1014,,2016,"ASR_DRG","Drug Abuse Violations",13310,264534532,920190,284712,46831,49913,47116,44717,43522,42817,42116,179120,133536,97497,61460,50920,40577,24873,10526,4649,12566,13825,13052,12511,12697,12685,13050,58647,45859,33246,20883,16330,11068,5645,1852,796,12581,263887632,844916,325859,14813,11743
1015,,2016,"ASR_DRK","Drunkenness",13310,264534532,242255,58979,3986,5056,5568,8618,8086,8110,7795,35909,31436,26988,22151,24094,23879,17250,8609,4720,1199,1423,1429,2055,1923,1959,1926,9132,8655,7321,5949,6137,5051,2973,1250,597,12581,263887632,228319,44180,3439,23967
1016,,2016,"ASR_DUI","Drive Under the Influence",13310,264534532,618382,209729,8223,12186,15196,22892,24224,25362,26098,115513,89001,70239,52637,48128,43730,32534,18302,14117,2459,3798,4855,8061,8747,8899,9097,39172,29674,24161,18889,17848,15255,10142,5076,3596,12581,263887632,671271,114230,18819,14739
1017,,2016,"ASR_EMB","Embezzlement",13310,264534532,6450,6352,328,385,345,314,312,290,301,1226,885,617,474,386,271,174,80,62,289,406,342,304,306,292,260,1133,834,653,508,420,319,174,72,40,12581,263887632,7783,4586,234,103
1018,,2016,"ASR_FAM","Offenses Against the Family and Children",13310,264534532,50809,20743,568,655,806,891,1023,1302,1540,8851,9928,8815,6015,4624,3109,1629,636,417,268,306,418,508,620,757,887,4676,4523,3291,1872,1184,750,364,188,131,12581,263887632,47616,21035,552,1804
1019,,2016,"ASR_FOR","Forgery and Counterfeiting",13310,264534532,29561,16190,864,1321,1445,1038,1137,1180,1179,5854,4756,3814,2343,1885,1331,799,384,231,403,653,751,551,582,617,647,3300,2917,2328,1396,965,639,283,99,59,12581,263887632,29784,14592,849,289
1020,,2016,"ASR_FRD","Fraud",13310,264534532,63811,39198,1495,1934,2171,2182,2207,2393,2396,12077,10324,8190,5566,4872,3727,2335,1081,861,758,995,1180,1105,1270,1338,1424,7624,6882,5544,4060,2953,2061,1106,519,379,12581,263887632,68868,30966,1296,1222
1021,,2016,"ASR_GAM","Gambling",13310,264534532,2074,702,107,118,110,81,86,84,86,329,234,175,150,152,142,99,54,67,7,14,12,12,11,3,5,74,82,75,73,84,90,41,65,54,12581,263887632,1297,1269,187,12
1022,,2016,"ASR_HOM","Murder and Nonnegligent Homicide",13310,264534532,7979,1112,472,479,480,435,429,390,438,1606,1030,701,462,343,299,172,127,116,37,53,45,51,56,59,53,212,164,115,77,83,45,30,14,18,12581,263887632,4079,4732,127,103
1023,,2016,"ASR_LIQ","Liquor Laws",13310,264534532,116541,44658,18401,20618,17460,3348,2516,2055,1913,8061,6908,6331,5455,6209,6912,5697,2984,1673,10067,9926,7979,1125,877,700,677,2633,2135,2008,1647,1709,1600,984,379,212,12581,263887632,123248,25330,2849,7529
