"City","Requires De-Escalation","Has Use of Force Continuum","Bans Chokeholds and Strangleholds","Requires Warning Before Shooting","Restricts Shooting at Moving Vehicles","Requires Exhaust All Other Means Before Shooting","Duty to Intervene","Requires Comprehensive Reporting"
,,,,,,,,
"Albuquerque",1,1,1,1,,,1,1
"Anaheim",,1,,1,,,1,
"Anchorage",1,1,,,1,,,
"Arlington",1,1,,,,1,1,1
"Atlanta",,1,1,,,,,
"Aurora",,1,,,1,1,1,1
"Austin",,1,,1,,,1,
"Bakersfield",,,,1,,,1,
"Baltimore",1,1,1,1,,1,1,1
"Baton Rouge",,1,1,1,,1,1,
"Birmingham",,1,,,,,,
"Boston",,1,1,,1,1,,
"Buffalo",1,1,,,1,1,,
"Chandler",1,1,,1,,1,1,
"Charlotte",1,1,,1,,,,
"Chesapeake",,1,,1,,1,,
"Chicago",1,1,1,1,,1,1,1
"Chula Vista",,,,1,,,1,
"Cincinnati",1,1,1,1,1,1,1,
"Cleveland",1,1,1,1,1,,1,
"Colorado Springs",,,,1,,,1,1
"Columbus",1,1,1,1,,,,
"Corpus Christi",1,,1,1,,1,1,
"Dallas",1,1,,,,1,,1
"Denver",1,1,1,1,1,1,,
"Detroit",,1,1,1,,1,,
"Durham",1,1,,,,,,
"El Paso",,1,,1,,1,,
"Fort Wayne",,1,,1,,,,1
"Fort Worth",1,1,1,1,1,,1,
"Fremont",,,,1,,,1,
"Fresno",,,,1,,,1,
"Garland",,,1,1,,,,
"Glendale",,1,,,,1,,
"Greensboro",1,,,,,,,
"Henderson",1,1,,,,1,1,
"Hialeah",,1,,,,,1,
"Honolulu",1,1,,1,,,,1
"Houston",,1,,,,,1,1
"Indianapolis",,,,1,,,,
"Irvine",,1,,1,,,1,
"Irving",,,,,,,,1
"Jacksonville",,1,1,1,,,,
"Jersey City",,1,,1,,1,,
"Kansas City, MO",,,,,,,,
"Laredo",,1,,1,,1,,
"Las Vegas",1,1,,1,,,1,
"Lexington",,1,,,,1,,1
"Lincoln",1,1,,,,1,,
"Long Beach",,,,1,,1,,
"Los Angeles",1,1,1,,1,,1,
"Louisville",1,1,,1,,1,,
"Lubbock",,1,,,,1,,
"Madison",1,1,1,1,,1,1,1
"Memphis",,1,,1,,1,,
"Mesa",,1,,1,,,,
"Miami",1,1,1,1,,1,1,
"Milwaukee",,1,,1,,,1,
"Minneapolis",1,1,,1,,,1,
"Nashville",,1,,1,,1,,
"New Orleans",1,1,1,,1,,1,1
"New York",1,1,,,1,,1,
"Newark",,1,,1,,1,1,
"Norfolk",1,1,,,,,1,
"North Las Vegas",,,,,,1,,
"Oakland",1,1,,,,1,1,1
"Oklahoma City",1,1,,1,,1,1,
"Omaha",,1,,1,,,,
"Orlando",,1,,,1,,1,
"Philadelphia",1,1,1,1,1,1,1,
"Phoenix",,1,,1,,,1,1
"Pittsburgh",1,1,1,1,,,,
"Plano",,1,1,1,,1,,1
"Portland",1,1,,1,,,1,1
"Raleigh",,1,,1,,1,1,1
"Reno",,,,,,,,
"Riverside",1,1,,1,,,1,
"Rochester",,1,,,,,,
"Sacramento",1,,,1,,1,1,1
"San Antonio",1,1,1,,,,1,
"San Bernardino",1,1,,1,,,1,
"San Diego",,1,,1,,1,,1
"San Francisco",1,1,1,1,1,1,1,1
"San Jose",1,1,1,1,,,,1
"Santa Ana",,1,,1,,,1,
"Scottsdale",,1,,1,,,,
"Seattle",1,1,1,1,,,1,1
"Spokane",,1,,1,,,1,1
"St. Louis",,1,,1,1,1,,
"St. Paul",1,1,,1,1,,1,1
"St. Petersburg",1,1,1,1,1,1,,
"Stockton",1,,,1,,1,1,
"Tampa",,1,,,,,,
"Toledo",,1,,1,,,,
"Tucson",1,1,1,1,1,1,1,1
"Tulsa",1,1,,1,,,,
"Virginia Beach",1,,1,1,,,1,1
"Washington DC",1,1,1,1,,1,1,1
"Wichita",,1,,1,,,,1
"Winston-Salem",1,1,,1,,,,1
