"Area","Republican Vote Share","Partisan Segregation"
"Jackson, Mississippi",0.399,0.63
"New Orleans",0.416,0.58
"Baton Rouge, Louisiana",0.497,0.56
"Birmingham, Alabama",0.455,0.56
"Shreveport, Louisiana",0.444,0.56
"Greater Memphis area, Tennessee, Mississippi and Arkansas",0.364,0.55
"Greater Columbus area, Georgia and Alabama",0.391,0.52
"Mobile, Alabama",0.482,0.51
"Montgomery, Alabama",0.418,0.5
"Greater New York City area",0.333,0.47
"Lafayette, Louisiana",0.639,0.47
"Greater Augusta area, Georgia and South Carolina",0.497,0.45
"Savannah, Georgia",0.365,0.45
"Atlanta",0.400,0.45
"Baltimore",0.367,0.43
"Columbia, South Carolina",0.461,0.42
"Greater Chicago area",0.296,0.4
"Richmond, Virginia",0.388,0.39
"Milwaukee",0.408,0.39
"Houston",0.442,0.38
"Cleveland",0.383,0.38
"Little Rock, Arkansas",0.436,0.38
"Greater St. Louis area",0.429,0.38
"Greater Philadelphia area",0.327,0.36
"Greensboro, North Carolina",0.314,0.36
"Winston-Salem, North Carolina",0.441,0.36
"Greater Chattanooga area, Tennessee and Georgia",0.581,0.36
"Indianapolis",0.486,0.36
"Greater Charlotte area, North Carolina and South Carolina",0.403,0.36
"Greater Washington, D.C., area",0.231,0.36
"Nashville-Davidson, Tennessee",0.464,0.35
"Detroit",0.417,0.35
"Greater Cincinnati area",0.533,0.34
"Greater Los Angeles area",0.274,0.34
"Trenton, New Jersey",0.338,0.34
"Flint, Michigan",0.401,0.34
"Virginia Beach, Virginia",0.421,0.33
"Asheville, North Carolina",0.423,0.33
"Bakersfield, California",0.550,0.32
"Greater Dallas area",0.472,0.32
"Austin, Texas",0.328,0.32
"Eugene, Oregon",0.314,0.31
"Portland, Oregon",0.304,0.31
"Greater Springfield area, Massachusetts",0.373,0.31
"Seattle",0.285,0.3
"Jacksonville, Florida",0.542,0.3
"Tallahassee, Florida",0.327,0.3
"Greater Louisville area, Kentucky and Indiana",0.464,0.3
"Fayetteville, North Carolina",0.368,0.3
"Huntsville, Alabama",0.548,0.29
"Greenville, South Carolina",0.637,0.29
"Reading, Pennsylvania",0.458,0.29
"Dayton, Ohio",0.536,0.29
"Greater Boston area",0.322,0.29
"Fresno, California",0.451,0.29
"Pittsburgh",0.461,0.29
"Columbus, Ohio",0.380,0.29
"Ann Arbor, Michigan",0.219,0.29
"Buffalo, New York",0.442,0.29
"Greater Salt Lake City area",0.438,0.28
"Greater San Francisco area",0.134,0.28
"Grand Rapids, Michigan",0.499,0.28
"New Haven, Connecticut",0.409,0.28
"Indio-Cathedral City, California",0.406,0.28
"San Antonio",0.432,0.28
"Greater Pensacola area, Florida and Alabama",0.607,0.28
"Greater Minneapolis-St. Paul area",0.364,0.28
