State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests
New Mexico,Albuquerque,Albuquerque Police Department,3,18,,,,11,,32,"545,852","14,878","229,933","20,627","13,674",418,14092,"1,224","10,043","255,055",28.48,30,5.5,8.4,28.8,6.8,10.1,4.21,1.48,4325,4934,5406,6245,7686,7646,6040.3,11.1,27700,25447,22126,20341,21130,22254,22259.6,14.4
California,Anaheim,Anaheim Police Department,3,7,,,,3,,13,"336,265","8,209","92,362",743,"49,210","1,437",50647,628,"6,209","177,467",27.78,14,4.2,5.5,52.2,4.6,5.6,11.25,1.21,1130,1101,1271,1209,1253,1192,1192.7,3.5,7891,8137,8381,9415,8869,10019,8964.2,14.5
Alaska,Anchorage,Anchorage Police Department,1,1,2,,,5,4,13,"291,826","15,308","182,814","22,047","23,208","5,776",28984,562,"20,050","22,061",34.33,12,4.1,6.4,9.3,3.9,6.5,2.39,1.66,2435,2605,3226,3422,3564,3824,3179.3,10.9,17601,14748,14387,13294,13871,13973,14054.6,9.2
Texas,Arlington,Arlington Police Department,7,1,,2,,3,,13,"365,438","67,087","164,022","1,338","24,564",373,24937,597,"7,188","100,269",39.74,13,3.6,5.1,14.9,2.6,1.4,5.70,0.55,1837,1854,1946,2188,,1784,1921.8,5.3,17258,16222,13989,11024,8397,9566,11839.6,11.0
Georgia,Atlanta,Atlanta Police Department,13,,,,,1,1,15,"420,003","224,316","152,377",754,"13,098",115,13213,739,"6,789","21,815",74.12,93,22.1,5.1,8.3,0.9,0.0,8.83,0.00,5517,5577,5203,5121,4504,3814,4956.0,11.8,30505,26958,,22161,22581,,23900,6.3
Colorado,Aurora,Aurora Police Department,9,3,,1,,7,2,22,"325,078","49,003","153,715","1,487","15,735",919,16654,677,"10,279","93,263",28.72,11,3.4,9.7,26.2,6.5,4.6,4.03,0.71,1436,1448,1660,1939,2239,2716,1906.3,5.9,21182,20469,19155,17455,15907,15662,17729.6,12.4
Texas,Austin,Austin Police Department,5,7,,1,,19,,32,"790,390","60,760","385,271","1,967","49,159",401,49560,"1,448","13,677","277,707",54.14,32,4.0,5.8,11.8,7.0,3.6,1.67,0.51,3123,3581,3497,3903,4032,3720,3642.7,4.6,37024,36524,33101,30687,28485,24359,30631.2,10.4
California,Bakersfield,Bakersfield Police Department,3,15,,1,,5,,24,"347,483","26,677","131,311","2,265","20,496",357,20853,681,"7,491","158,205",43.39,17,4.9,9.9,16.1,5.4,13.5,2.95,2.49,1857,1678,1810,1821,1827,1895,1814.7,5.2,16786,20912,21814,21629,16822,13048,18845,12.7
Maryland,Baltimore,Baltimore Police Department,27,,,,,3,1,31,"620,961","392,938","174,120","1,884","14,397",192,14589,942,"10,528","25,960",68.90,211,34.0,7.1,9.8,2.5,0.0,3.99,0.00,8725,8346,9542,11010,12430,11100,10192.2,16.4,47560,46232,32939,29661,29044,25567,32688.6,9.5
Louisiana,Baton Rouge,Baton Rouge Police Department,10,,,,,,,10,"229,493","124,542","86,679",397,"7,469",39,7508,332,"2,382","7,653",66.94,53,23.1,6.2,11.5,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,2127,2120,2001,2143,2335,2067,2132.2,9.3,,,15244,13322,12829,10773,13042,7.7
Alabama,Birmingham,Birmingham Police Department,4,,,,,3,,7,"212,237","155,258","44,819",361,"2,132",48,2180,150,"1,765","7,704",62.56,52,24.5,4.7,3.7,9.6,0.0,0.38,0.00,2852,3369,3707,,,4025,3488.3,16.4,,,,,,,#DIV/0!,
Massachusetts,Boston,Boston Police Department,9,1,,1,,,1,12,"617,594","138,073","290,312","1,227","54,846",182,55028,"10,078","14,959","107,917",69.17,53,8.6,2.8,9.3,0.0,1.3,No White People were Killed by Police,No White People were Killed by Police,5037,4749,4702,4767,4570,4324,4691.5,7.6,12716,13647,11423,10247,9994,8843,10830.8,11.1
New York,Buffalo,Buffalo Police Department,1,2,,,,,,3,"261,310","97,637","119,801","1,597","8,313",79,8392,445,"5,919","27,519",65.89,60,23.0,1.6,1.5,0.0,10.4,#DIV/0!,#DIV/0!,3249,3174,2887,2857,2611,2692,2911.7,11.1,14774,12893,12354,10937,10050,10720,11390.8,2.6
Arizona,Chandler,Chandler Police Department,,3,,,,2,,5,"236,123","10,580","145,724","2,715","19,119",365,19484,369,"5,443","51,808",17.24,1,0.4,3.0,0.0,2.0,8.3,0.00,4.22,575,466,490,558,647,606,557.0,2.4,6257,6105,6256,6151,6660,6538,6342,7.9
North Carolina,Charlotte,Charlotte-Mecklenburg Police Department,12,2,,,1,5,1,21,"731,424","252,007","329,545","2,250","36,115",436,36551,"1,960","13,423","95,688",53.40,47,6.4,4.1,6.8,2.2,3.0,3.14,1.38,5093,5054,5948,6560,6304,6482,5906.8,8.1,19087,23669,25305,23740,23632,22021,23673.4,8.9
Virginia,Chesapeake,Chesapeake Police Department,2,,,,,,,2,"222,209","65,204","134,251",720,"6,289",147,6436,266,"5,626","9,706",41.66,10,4.5,1.3,4.4,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,737,991,897,969,1006,979,929.8,4.2,9177,8084,5919,3500,4080,5149,5346.4,3.7
Illinois,Chicago,Chicago Police Department,56,13,,,,2,5,76,"2,695,598","872,286","854,717","4,097","144,903",557,145460,"4,227","35,949","778,862",82.48,411,15.2,4.0,9.2,0.3,2.4,27.44,7.13,25688,24133,24698,30193,29737,27420,26978.2,10.0,112862,100346,84215,61507,57523,78737,76465.6,9.9
California,Chula Vista,Chula Vista Police Department,,1,,,,1,,2,"243,916","9,972","49,641",600,"33,581","1,105",34686,360,"6,591","142,066",22.05,7,2.9,1.2,0.0,2.9,1.0,0.00,0.35,595,612,705,696,808,835,708.5,2.9,3935,3426,4019,4601,4118,4213,4075.4,4.9
Ohio,Cincinnati,Cincinnati Polce Department,8,1,,,,3,,12,"296,943","132,307","142,831",549,"5,434",168,5602,721,"6,625","8,308",53.42,60,20.2,5.8,8.6,3.0,17.2,2.88,5.73,2826,2695,2761,2720,2833,2535,2728.3,9.2,,,,,6971,6694,6832.5,17.6
Ohio,Cleveland,Cleveland Police Department,9,,,,,1,,10,"396,815","208,208","132,710",997,"7,213",70,7283,599,"7,484","39,534",69.02,63,15.9,3.6,6.2,1.1,0.0,5.74,0.00,5751,5186,,6299,5999,5576,5762.2,14.5,9245,8519,6441,3883,4417,3834,5418.8,18.5
