Incident,City,Appox. Location,Date,Link,,,,,
75 yr. old man pushed to ground by police hitting head,"Buffalo, NY",Niagra Square,6/4/2020,https://twitter.com/DavidBegnaud/status/1268716877355810818,,,,,
Officer drives car into crowd,"New York, NY",Brooklyn,5/30/2020,https://twitter.com/greg_doucette/status/1266903868295778310?s=20,,,,,
Officer shoving protestor to ground,"New York, NY",,5/30/2020,https://twitter.com/greg_doucette/status/1266850004720812032?s=20,,,,,
Officer kicks sitting already tear-gassed protestor,"Erie, PA",,5/31/2020,https://twitter.com/greg_doucette/status/1267117854387814401?s=20,,,,,
Officer uses knee on protestor's neck,"Seattle, WA",,5/31/2020,https://twitter.com/greg_doucette/status/1267110620471664641?s=20,,,,,
Officer hitting protestors with baton,"Los Angeles, CA",Fairfax,6/4/2020,https://twitter.com/ABC7/status/1268673244715859968?s=20,,,,,
Alleged unhinged officer,"San Jose, CA",,5/29/2020,https://twitter.com/greg_doucette/status/1266871141269987331?s=20,,,,,
Press hit with tear gas by police,"Austin, TX",,5/31/2020,https://twitter.com/DestinyonFOX7/status/1267200704457949186,,,,,
Press pepper sprayed after identifying himself as press,"Chicago, IL",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
"Press arrested while wearing press badge, forced to ground by multiple officers","Cincinnati, OH",,6/1/2020,https://twitter.com/nswartsell/status/1267612155840528385,,,,,
Press grabbed by police by bandana from behind and pulled into a group of officers,"Cincinnati, OH",,6/1/2020,https://twitter.com/nswartsell/status/1267612155840528385,,,,,
Press pepper sprayed by police,"Colorado Springs, CO",,6/3/2020,https://twitter.com/Spencer_WNews/status/1268062375657209857,,,,,
Press pepper sprayed by police,"Colorado Springs, CO",,6/3/2020,https://twitter.com/Spencer_WNews/status/1268062375657209857,,,,,
"Press pepper sprayed by police who said ""I don't care"" after identifying as press","Columbus, OH",,6/2/2020,https://www.poynter.org/educators-students/2020/lantern-student-newspaper-pepper-sprayed-protest-ohio/,,,,,
"Press pepper sprayed by police who said ""I don't care"" after identifying as press","Columbus, OH",,6/2/2020,https://www.poynter.org/educators-students/2020/lantern-student-newspaper-pepper-sprayed-protest-ohio/,,,,,
"Press pepper sprayed by police who said ""I don't care"" after identifying as press","Columbus, OH",,6/2/2020,https://www.poynter.org/educators-students/2020/lantern-student-newspaper-pepper-sprayed-protest-ohio/,,,,,
"Press chased, pepper sprayed by police","Columbus, OH",,5/30/2020,https://pressfreedomtracker.us/all-incidents/student-journalist-chased-pepper-sprayed-during-protests-columbus/,,,,,
Press tear gassed by police,"Dallas, TX",,5/30/2020,https://twitter.com/atompkins/status/1266590877595688965,,,,,
Press police rolled tear gas cannister at him,"Dallas, TX",,5/30/2020,https://twitter.com/corbettsmithDMN/status/1266899262719303681,,,,,
Press police intentionally rolled tear gas cannister at him,"Dallas, TX",,5/29/2020,https://twitter.com/BKSpxshooter11/status/1266901579728379908,,,,,
Press tear gassed and shot at with rubber bullets away from protesters,"Dallas, TX",,5/30/2020,https://twitter.com/HisGirlHildy/status/1266937604609622016,,,,,
Press arrested and held overnight,"Dallas, TX",,5/30/2020,https://www.dallasnews.com/news/2020/05/31/dallas-leaders-to-consider-curfew-after-nearly-90-arrested-in-protests/,,,,,
Press ear gas thrown right at him while in press line,"Dallas, TX",,5/31/2020,https://twitter.com/TabithaLipkin/status/1266959902720786433,,,,,
Tear gas thrown right at her while in press line,"Dallas, TX",,5/31/2020,https://twitter.com/TabithaLipkin/status/1266959902720786433,,,,,
Hit by projectile by police while live on camera,"Denver, CO",,5/31/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
Hit on the chin with a tear gas canister,"Denver, CO",,5/29/2020,https://pressfreedomtracker.us/all-incidents/colorado-photojournalist-struck-chin-tear-gas-canister/,,,,,
Forced into tear gas and threatened with weapon,"Denver, CO",,6/1/2020,https://twitter.com/alex_burness/status/1267319325846917120,,,,,
Shot with pepper balls by police,"Denver, CO",,5/28/2020,https://pressfreedomtracker.us/all-incidents/photojournalist-struck-pepper-balls-while-documenting-denver-protests/,,,,,
Shot deliberately by police multiple times with pepper balls,"Denver, CO",,5/28/2020,https://pressfreedomtracker.us/all-incidents/photojournalist-struck-pepper-balls-while-documenting-denver-protests/,,,,,
Forced into tear gas and threatened with weapon,"Denver, CO",,6/1/2020,https://twitter.com/alex_burness/status/1267319325846917120,,,,,
Shoved twice by police and hit with tear gas after identifying himself as press,"Denver, CO",,5/30/2020,https://twitter.com/DavidASachs/status/1266920122893156353,,,,,
Shot with rubber bullet and then fired at with pepper balls by police,"Denver, CO",,5/29/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
"Ducked, avoiding pepper balls fired by police","Denver, CO",,5/29/2020,https://pressfreedomtracker.us/all-incidents/photojournalist-covering-denver-protests-hit-multiple-pepper-balls/,,,,,
"Struck four times by pepper balls fired by police, camera damaged","Denver, CO",,5/29/2020,https://pressfreedomtracker.us/all-incidents/photojournalist-covering-denver-protests-hit-multiple-pepper-balls/,,,,,
Arrested and pepper sprayed after identifying herself as press,"Des Moines, IA",,5/31/2020,https://www.usatoday.com/story/news/nation/2020/05/31/journalists-blinded-injured-arrested-covering-george-floyd-protests/5299374002/,,,,,
